doi,parent_name,raw_affiliation_string,fak_name,dept_name,validation,coment
10.3390/ma14175063,Hochschule Osnabrück,"Materials Design and Structural Integrity Laboratory, Faculty of Engineering and Computer Sciences, Osnabrück University of Applied Sciences, 49076 Osnabrück, Germany",Fakultät Ingenieurwissenschaften und Informatik,Laborbereich Materialdesign und Werkstoffzuverlässigkeit,TRUE,
10.1142/s0219877022500328,Hochschule Osnabrück,"Faculty of Business Management and Social Sciences, Osnabrück University of Applied Sciences, Osnabrück, Germany",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.1080/10942912.2021.1969945,Hochschule Osnabrück,"Osnabrück University of Applied Sciences, Osnabrück University of Applied Sciences, Osnabrück, Germany",,,TRUE,
10.1186/s12871-024-02456-2,Hochschule Osnabrück,"Hochschule Osnabrück, University of Applied Sciences, Osnabrück, Germany",,,TRUE,
10.1055/a-1457-2846,Hochschule Osnabrück,"Fakultät Wirtschafts- und Sozialwissenschaften, Hochschule
Osnabrück, Deutschland",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.1002/bbb.2102,Hochschule Osnabrück,"Hochschule Osnabrück, Farm Management Osnabrück Germany",,,TRUE,
10.1016/j.bjpt.2023.100572,Hochschule Osnabrück,"Faculty of Business and Social Sciences, University of Applied Sciences - Hochschule Osnabrück, Osnabrück, Germany",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.1177/1460458220933417,Hochschule Osnabrück,"Osnabrück University of Applied Sciences, Germany",,,TRUE,
10.1002/app.53694,Hochschule Osnabrück,Faculty of Engineering and Computer Science University of Applied Sciences Osnabrück  Osnabrück Germany,Fakultät Ingenieurwissenschaften und Informatik,,TRUE,
10.1111/pbr.13096,Hochschule Osnabrück,"Department of Plant Breeding, University of Applied Sciences, Osnabrueck, Germany",Fakultät Agrarwissenschaften und Landschaftsarchitektur,Bereich Pflanzenernährung und Pflanzenbau,TRUE,
10.1002/adem.202401523,Hochschule Osnabrück,Institute for Materials Design and Structural Integrity University of Applied Sciences Osnabrück  Albrechtstraße 30 Osnabrück 49076 Germany,Fakultät Ingenieurwissenschaften und Informatik,Laborbereich Materialdesign und Werkstoffzuverlässigkeit,TRUE,
10.1055/a-1981-1643,Hochschule Osnabrück,"Fakultät Wirtschafts- und Sozialwissenschaftten, Deutsches
                    Netzwerk für Qualitätssicherung in der Pflege (DNQP), Hochschule
                    Osnabruck, Osnabruck, Germany",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.52825/gjae.v73i1.1272,Hochschule Osnabrück,Hochschule Osnabrück,,,TRUE,
10.1002/app.52141,Hochschule Osnabrück,"Faculty of Management, Culture and Technology, University of Applied Sciences Osnabrueck, Lingen, Germany","Fakultät Management, Kultur und Technik",,TRUE,
10.1016/j.rcradv.2022.200121,Hochschule Osnabrück,"Osnabrück University of Applied Sciences, Albrechtstr. 30, 49076 Osnabrück, Germany",,,TRUE,
10.1007/s41321-020-0113-8,Hochschule Osnabrück,"Hochschule Osnabrück, Osnabrück, Germany",,,TRUE,
10.1007/s10705-024-10370-9,Hochschule Osnabrück,"Faculty of Agricultural Sciences and Landscape Architecture, Osnabrück University of Applied Sciences, Am Krümpel 31, 49090, Osnabrück, Germany",Fakultät Agrarwissenschaften und Landschaftsarchitektur,,TRUE,
10.3390/electronics13122396,Hochschule Osnabrück,"Faculty of Engineering and Computer Science, University of Applied Sciences Osnabrück, 49076 Osnabrück, Germany",Fakultät Ingenieurwissenschaften und Informatik,,TRUE,
10.1097/phm.0000000000001369,Hochschule Osnabrück,"From the Centre for Health and Social Economics, National Institute for Health and Welfare, and Orton Orthopaedic Hospital, Helsinki, Finland (AM); University of Applied Sciences Osnabrück, Faculty of Business and Social Sciences, Osnabrück, Germany (SA-O); Faculty of Rehabilitation Medicine, Department of Physical Therapy, Rehabilitation Research Center, Edmonton, AB, Canada (SA-O); Scott Health Sciences Library, University of Alberta, Edmonton AB, Canada (LD); Department of Physical Medicine and Rehabilitation, Northwestern University Feinberg School of Medicine, and Centre for Rehabilitation Outcomes Research, Shirley Ryan AbilityLab, Chicago, Illinois (AWH); Department of Biomedical, Surgical, and Dental Sciences, University of Milan ""La Statale,"" and IRCCS Istituto Ortopedico Galeazzi, Milan, Italy (SN); and Department of Physical and Rehabilitation Medicine, Helsinki University Hospital, and University of Helsinki, Helsinki, Finland (JA)",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.1016/j.msksp.2023.102815,Hochschule Osnabrück,"University of Applied Sciences Osnabrück, Department of Physical Therapy and Rehabilitation Science, Germany",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,Institut für angewandte Physiotherapie und Osteopathie
10.1016/j.addlet.2022.100065,Hochschule Osnabrück,"Materials Design and Structural Integrity Laboratory, Osnabrück University of Applied Sciences, Albrecht Str. 30, Osnabrück 49076, Germany",Fakultät Ingenieurwissenschaften und Informatik,Laborbereich Materialdesign und Werkstoffzuverlässigkeit,TRUE,
10.1007/s12134-021-00872-8,Hochschule Osnabrück,"Osnabrück University of Applied Sciences, 49076, Osnabrück, Germany",,,TRUE,
10.1055/s-0043-1777920,Hochschule Osnabrück,"Hochschule Osnabrück, Osnabrück, Germany",,,TRUE,
10.1038/s41598-024-65016-1,Hochschule Osnabrück,"Faculty Business Management and Social Sciences, University of Applied Science Osnabrueck, Albrechtstraße 30, 49076, Osnabrück, Germany. a.griefahn@hs-osnabrueck.de",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.1590/1980-220x-reeusp-2021-0553en,Hochschule Osnabrück,"Hochschule Osnabrück,  Germany",,,TRUE,
10.1007/s11553-023-01075-y,Hochschule Osnabrück,"Hochschule Osnabrück - University of Applied Sciences, Osnabrück, Deutschland",,,TRUE,
10.1007/s11553-022-00951-3,Hochschule Osnabrück,"Projekt ""Dorfgemeinschaft 2.0"", Fakultät Management, Kultur und Technik, Institut für Duale Studiengänge, Hochschule Osnabrück, Campus Lingen, Kaiserstraße 10 c, 49809, Lingen, Deutschland",Department für Duale Studiengänge (DDS),,TRUE,
10.3390/s23042334,Hochschule Osnabrück,"Faculty of Business and Social Sciences, University of Applied Sciences Osnabrück, 30A, 49076 Osnabruck, Germany",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.1111/pbr.13096,Hochschule Osnabrück,Department of Plant Breeding University of Applied Sciences  Osnabrueck Germany,Fakultät Agrarwissenschaften und Landschaftsarchitektur,Bereich Pflanzenernährung und Pflanzenbau,TRUE,
10.1002/cptc.202000216,Hochschule Osnabrück,Fakultät IuI Verfahrenstechnik Hochschule Osnabrück  Osnabrück Germany,Fakultät Ingenieurwissenschaften und Informatik,Labor für Verfahrenstechnik,TRUE,
10.3390/ijerph20021558,Hochschule Osnabrück,"Faculty of Business and Social Sciences, University of Applied Sciences, Hochschule Osnabrück, 49076 Osnabrück, Germany",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.1007/s11625-022-01246-4,Hochschule Osnabrück,"Faculty of Agricultural Sciences and Landscape Architecture, Osnabrueck University of Applied Science, Am Kruempel 31, 49090, Osnabrueck, Germany",Fakultät Agrarwissenschaften und Landschaftsarchitektur,,TRUE,
10.1016/j.erss.2024.103802,Hochschule Osnabrück,"Osnabrück University of Applied Sciences, Kaiserstr. 10C, 49809 Lingen (Ems), Germany",,,TRUE,
10.1007/s11665-021-06182-5,Hochschule Osnabrück,"Laboratory of Materials Design and Structural Integrity, University of Applied Science Osnabrück, Osnabrück, Germany",Fakultät Ingenieurwissenschaften und Informatik,Laborbereich Materialdesign und Werkstoffzuverlässigkeit,TRUE,
10.5194/aab-63-367-2020,Hochschule Osnabrück,"Faculty of Agricultural Sciences and Landscape Architecture, Division
Animal Breeding, University of Applied Sciences Osnabrück, Am Kruempel
31, 49090 Osnabrück, Germany",Fakultät Agrarwissenschaften und Landschaftsarchitektur,,TRUE,
10.1016/j.jfoodeng.2021.110938,Hochschule Osnabrück,"University of Applied Sciences Osnabrück, Am Krümpel 31, D-49090, Osnabrück, Germany",,,TRUE,
10.1108/mbr-02-2020-0035,Hochschule Osnabrück,"Faculty of Business Management and Social Sciences, Osnabrück University of Applied Sciences, Osnabrück, Germany",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.3390/agriculture14081403,Hochschule Osnabrück,"Fakultät Agrarwissenschaften und Landschaftsarchitektur, HS Osnabrück, 49076 Osnabrück, Germany",Fakultät Agrarwissenschaften und Landschaftsarchitektur,,TRUE,
10.1007/s10856-023-06729-z,Hochschule Osnabrück,"Laboratory of Chemistry and Surface Modification, University of Applied Sciences Osnabrück, Osnabrück, Germany. s.petersen@hs-osnabrueck.de",Fakultät Ingenieurwissenschaften und Informatik,Labor für anorganische und analytische Chemie,TRUE,
10.1026/0932-4089/a000413,Hochschule Osnabrück,"Fakultät Wirtschafts- und           Sozialwissenschaften, Hochschule Osnabrück, Deutschland",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.1007/s00192-024-05744-0,Hochschule Osnabrück,"University of Applied Sciences, Hochschule Osnabrück, Caprivi Strasse 30, Room 0017, Osnabrück, Germany",,,TRUE,
10.1016/j.msksp.2020.102261,Hochschule Osnabrück,"Faculty of Business Management and Social Sciences, Hochschule Osnabrück, University of Applied Sciences, Osnabrück, Germany",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.1027/1866-5888/a000343,Hochschule Osnabrück,"Faculty of Economics and Social Sciences,                     University of Applied Sciences, Osnabrück, Germany",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.1007/s11085-021-10037-8,Hochschule Osnabrück,"Faculty of Engineering and Computer Science, University of Applied Sciences Osnabrück, Osnabrück, Germany",Fakultät Ingenieurwissenschaften und Informatik,,TRUE,
10.1111/joor.13601,Hochschule Osnabrück,Faculty of Economics and Social Sciences University of Applied Sciences Osnabrück Osnabrück Germany,Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.1016/j.jclinepi.2022.10.018,Hochschule Osnabrück,"University of Applied Sciences, Faculty of Business and Social Sciences, Osnabrück, Germany; Faculty of Rehabilitation Medicine, Department of Physical Therapy, University of Alberta, Edmonton Canada",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.1016/j.gecco.2023.e02612,Hochschule Osnabrück,"Vegetation Ecology and Botany, Osnabrück University of Applied Sciences, 49009 Osnabrück, Germany",Fakultät Agrarwissenschaften und Landschaftsarchitektur,,TRUE,
10.23736/s1973-9087.20.06428-x,Hochschule Osnabrück,"Faculty of Business and Social Sciences, University of Applied Sciences, Osnabrück, Germany",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.1016/j.jbmt.2020.12.036,Hochschule Osnabrück,"Department of Physical Therapy and Movement Sciences, University of Applied Science Osnabrück, Albrechtstraße 30, 49076, Osnabrück, Germany. Electronic address: H.von-Piekartz@hs-osnabrueck.de",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,Institut für angewandte Physiotherapie und Osteopathie
10.1186/s13007-023-01018-w,Hochschule Osnabrück,"Laboratory for Biosystems Engineering, Faculty of Agricultural Sciences and Landscape Architecture, Osnabrück University of Applied Sciences, Oldenburger Landstraße 24, 49090, Osnabrück, Germany. bethge@baum.uni-hannover.de",Fakultät Agrarwissenschaften und Landschaftsarchitektur,,TRUE,
10.7565/ssp.v3.4507,Hochschule Osnabrück,"Osnabrück University of Applied Sciences, Faculty of Business Management and Social Sciences",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.1007/s10924-020-01655-5,Hochschule Osnabrück,"Faculty of Engineering and Computer Science, University of Applied Sciences Osnabrück, Albrechtstrasse 30, 49076, Osnabrück, Germany",Fakultät Ingenieurwissenschaften und Informatik,,TRUE,
10.1504/ijpd.2020.113167,Hochschule Osnabrück,"Faculty of Engineering and Computer Science, University of Applied Sciences Osnabrueck, Albrechtstraße 30, Osnabrueck 49076, Germany",Fakultät Ingenieurwissenschaften und Informatik,,TRUE,
10.3390/s21113892,Hochschule Osnabrück,"Fachgebiet Pflanzenernährung und Pflanzenbau, Fakultät Agrarwissenschaften und Landschaftsarchitektur, Hochschule Osnabrück, Am Krümpel 31, D-49090 Osnabrück, Germany",Fakultät Agrarwissenschaften und Landschaftsarchitektur,,TRUE,
10.3144/expresspolymlett.2023.54,Hochschule Osnabrück,"University of Applied Sciences, Osnabrück, Germany",,,TRUE,
10.1016/j.msksp.2023.102815,Hochschule Osnabrück,"University of Applied Sciences Osnabrück, Department of Physical Therapy and Rehabilitation Science, Germany; Cranial Facial Therapy Academy (CRAFTA), Hamburg, Germany. Electronic address: H.von-Piekartz@hs-osnabrueck.de",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,Institut für angewandte Physiotherapie und Osteopathie
10.1186/s13705-022-00354-4,Hochschule Osnabrück,"University of Applied Science Osnabrueck, Albrechtstr.30, 49076 Osnabrck, Germany",,,TRUE,
10.1071/an20424,Hochschule Osnabrück,"Faculty of Agricultural Sciences and Landscape Architecture, Division Animal Breeding, University of Applied Sciences Osnabrück, Am Kruempel 31, 49090 Osnabrueck, Germany",Fakultät Agrarwissenschaften und Landschaftsarchitektur,,TRUE,
10.1016/j.jclinepi.2020.08.002,Hochschule Osnabrück,"Faculty of Rehabilitation Medicine, University of Alberta & Institute of Health Economics, Edmonton, Alberta, Canada; University of Applied Sciences, Faculty of Business and Social Sciences, Osnabrück, Germany",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.1024/2297-6965/a000525,Hochschule Osnabrück,"Simon Stiehl, B.Sc., Pflege (dual), Exam.                   Gesundheits- und Krankenpfleger, Externer Lehrbeauftragter der Hochschule                   Osnabrück, Mitinitiator & Wissenschaftliche Koordination Recovery                   College Osnabrück (2019–2022)[email protected]",,,TRUE,
10.1016/j.gendis.2022.05.001,Hochschule Osnabrück,"Institute of Communication Management, Faculty of Management, Culture and Technology (Lingen Campus), Osnabrück University of Applied Sciences, 49809 Lingen, Germany","Fakultät Management, Kultur und Technik",,TRUE,
10.1080/10999922.2022.2068900,Hochschule Osnabrück,Osnabrück University of Applied Sciences,,,TRUE,
10.3390/life13020336,Hochschule Osnabrück,"Department of Physiotherapy, University of Applied Sciences Osnabrück, Faculty of Economics and Social Sciences Caprivistr. 30A, 49076 Osnabrück, Germany",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.3389/frsc.2022.896313,Hochschule Osnabrück,"Faculty of Agricultural Sciences and Landscape Architecture, Osnabrück University of Applied Sciences, Osnabrück, Germany",Fakultät Agrarwissenschaften und Landschaftsarchitektur,,TRUE,
10.1186/s12913-021-06863-w,Hochschule Osnabrück,"Faculty of Business Management and Social Sciences, University of Applied Sciences Osnabrueck, Network of Midwifery, P.O. Box 19 40, 49009, Osnabrück, Germany",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.1016/j.atech.2024.100602,Hochschule Osnabrück,"Faculty of Engineering and Computer Science, Osnabrück University of Applied Sciences, Osnabrück, Germany",Fakultät Ingenieurwissenschaften und Informatik,,TRUE,
10.1365/s35764-024-00527-0,Hochschule Osnabrück,"Hochschule Osnabrück, Osnabrück, Deutschland",,,TRUE,
10.1365/s35764-024-00532-3,Hochschule Osnabrück,"Hochschule Osnabrück, Osnabrück, Deutschland",,,TRUE,
10.1159/000530135,Hochschule Osnabrück,"Hochschule Osnabrück - University of Applied Sciences, Osnabrück, Germany",,,TRUE,
10.1007/s11301-024-00405-4,Hochschule Osnabrück,"Osnabrueck University of Applied Sciences, Osnabrueck, Germany",,,TRUE,
10.1590/1980-220x-reeusp-2021-0553pt,Hochschule Osnabrück,"Hochschule Osnabruck, Osnabruck, Alemanha",,,TRUE,
10.1039/d0ta03340e,Hochschule Osnabrück,Osnabrück University of Applied Sciences,,,TRUE,
10.33552/abeb.2020.04.000588,Hochschule Osnabrück,"University of Applied Science Osnabruck, Germany",,,TRUE,
10.1016/j.procir.2024.10.131,Hochschule Osnabrück,"Institute for Dual Study Programmes, Faculty of Management, Culture and Technology, University of Applied Sciences Osnabrueck, 49809 Lingen, Germany","Fakultät Management, Kultur und Technik",,TRUE,
10.5465/ambpp.2020.14469abstract,Hochschule Osnabrück,Hochschule Osnabrück,,,TRUE,
10.1111/evj.13859,Hochschule Osnabrück,University of Applied Sciences  Osnabrück Germany,,,TRUE,
10.1590/1518-8345.4826.3453,Hochschule Osnabrück,"Hochschule Osnabruck, Deutschen Netzwerks fur Qualitatsentwicklung in der Pflege, Osnabruck, Germany",,,TRUE,
10.1002/cctc.202400041,Hochschule Osnabrück,Osnabrück University of Applied Sciences Faculty of Agricultural Science and Landscape Architecture Laboratory of Plant Nutrition and Chemistry  Am Krümpel 31 49090 Osnabrück Germany,Fakultät Agrarwissenschaften und Landschaftsarchitektur,Bereich Pflanzenernährung und Pflanzenbau,TRUE,
10.1016/j.jmrt.2022.10.147,Hochschule Osnabrück,"Faculty of Engineering and Computer Sciences, Osnabrück University of Applied Sciences, Osnabrück 49076, Germany",Fakultät Ingenieurwissenschaften und Informatik,,TRUE,
10.1111/pbr.13168,Hochschule Osnabrück,Department of Horticultural Production University of Applied Sciences Osnabrueck Osnabrueck Germany,Fakultät Agrarwissenschaften und Landschaftsarchitektur,,TRUE,
10.1007/s11612-024-00722-y,Hochschule Osnabrück,"Fakultät Wirtschafts- und Sozialwissenschaften, Hochschule Osnabrück, Osnabrück, Deutschland",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.1002/csr.2914,Hochschule Osnabrück,"School of Business Management and Social Sciences, University of Applied Sciences Osnabrück  Osnabrück Germany",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
