doi,parent_name,raw_affiliation_string,fak_name,dept_name,validation,comment
10.1016/j.foreco.2021.119509,Georg-August-Universität Göttingen,"Wildlife Sciences, Faculty of Forest Sciences, University of Goettingen, Buesgenweg 3, 37077 Goettingen, Germany",Fakultät für Forstwissenschaften und Waldökologie,Büsgen-Institut,True,
10.1111/1365-2435.14186,Georg-August-Universität Göttingen,"Silviculture and Forest Ecology of the Temperate Zones, Faculty of Forest Sciences and Forest Ecology University of Göttingen  Göttingen Germany",Fakultät für Forstwissenschaften und Waldökologie,Burckhardt-Institut,True,
10.1093/plcell/koaa045,Georg-August-Universität Göttingen,"Department of Plant Biochemistry, Goettingen Center for Molecular Biosciences (GZMB), University of Goettingen, D-37077 Goettingen, Germany",Fakultät für Biologie und Psychologie,Albrecht-von-Haller-Institut für Pflanzenwissenschaften,True,
10.1080/13642987.2020.1859481,Georg-August-Universität Göttingen,"Georg-August-Universitat Gottingen, Gottingen, Germany",,,True,no faculty named
10.1002/mats.202100048,Georg-August-Universität Göttingen,Institut für Physikalische Chemie Georg‐August‐Universität Göttingen  Tammannstraße 6 Göttingen D‐37077 Germany,Fakultät für Chemie,Institut für Physikalische Chemie,True,
10.1039/c9cc09774k,Georg-August-Universität Göttingen,Universität Göttingen,,,True,no faculty named
10.1007/s10661-021-08996-1,Georg-August-Universität Göttingen,"Department of Physical Geography, Institute of Geography, University of Goettingen, Goldschmidtstraße 5, 37077, Goettingen, Germany",Fakultät für Geowissenschaften und Geographie,Geographisches Institut,True,
10.1038/s42254-022-00532-5,Georg-August-Universität Göttingen,"Institute for the Dynamics of Complex Systems, University of Göttingen, Göttingen, Germany",Fakultät für Physik,Institut für Dynamik komplexer Systeme,True,
10.1007/s12054-021-00451-2,Georg-August-Universität Göttingen,"Georg-August-Universität Göttingen, Göttingen, Deutschland",,,True,no faculty named
10.1039/d1cp02115j,Georg-August-Universität Göttingen,"Institute of Physical Chemistry, University of Goettingen, Tammannstr. 6, 37077 Goettingen, Germany",Fakultät für Chemie,Institut für Physikalische Chemie,True,
10.1016/j.worlddev.2023.106413,Georg-August-Universität Göttingen,"Georg-August-Universität Göttingen, Göttingen, Germany",,,True,no faculty named
10.3390/microorganisms9010163,Georg-August-Universität Göttingen,"Department of General Microbiology, GZMB, Georg-August-University Göttingen, Grisebachstr. 8, D-37077 Göttingen, Germany",Fakultät für Biologie und Psychologie,Institut für Mikrobiologie und Genetik,True,
10.1016/j.dss.2022.113770,Georg-August-Universität Göttingen,"Faculty of Business and Economics, University of Goettingen, Germany",Wirtschaftswissenschaftliche Fakultät,,True,
10.1063/5.0082952,Georg-August-Universität Göttingen,"Universität Göttingen, Institut für Physikalische Chemie, Theoretische Chemie , Tammannstraße 6, 37077 Göttingen, Germany",Fakultät für Chemie,Institut für Physikalische Chemie,True,
10.29328/journal.jprr.1001018,Georg-August-Universität Göttingen,"Lung Tumor Center University of Gttingen and Gttingen Comprehensive Cancer Center (G-CCC), Germany",,,False,UMG?
10.3390/h11050107,Georg-August-Universität Göttingen,"Skandinavisches Seminar, Georg-August-Universität Göttingen, 37073 Göttingen, Germany",Philosophische Fakultät,Seminar für Mittlere und Neuere Geschichte,False,wrong dept
10.1080/17480272.2021.1958919,Georg-August-Universität Göttingen,"Wood Biology and Wood Products, Faculty of Forestry and Forest Ecology, University of Goettingen, Goettingen, Germany",Fakultät für Forstwissenschaften und Waldökologie,Burckhardt-Institut,True,
10.1002/sae2.70019,Georg-August-Universität Göttingen,Animal Husbandry in the Tropics and Subtropics University of Kassel/Georg‐August‐Universität Göttingen Göttingen Germany,Fakultät für Agrarwissenschaften,Department Nutztierwissenschaften,True,
10.1111/ele.14276,Georg-August-Universität Göttingen,Centre of Biodiversity and Sustainable Land Use  Göttingen Germany,Zentrum für Biodiversität und Nachhaltige Landnutzung,,True,
10.1038/s41586-023-06086-5,Georg-August-Universität Göttingen,"Functional Agrobiodiversity, Dept. of Crop Sciences, Faculty of Agricultural Science, University of Göttingen, Göttingen, Germany",Fakultät für Agrarwissenschaften,Department für Nutzpflanzenwissenschaften,True,
10.1002/ckon.202200048,Georg-August-Universität Göttingen,"Georg-August-Universität Göttingen Institut für Anorganische Chemie, Abteilung Fachdidaktik  Tammannstr. 4 37077 Göttingen",Fakultät für Chemie,Institut für Anorganische Chemie,True,
10.3389/fnins.2021.611300,Georg-August-Universität Göttingen,"Bernstein Center for Computational Neuroscience, III Physikalisches Institut–Biophysik, Georg-August Universität, Göttingen, Germany",Bernstein Zentrum für Computational Neuroscience Göttingen,,True,Fakultät für Physik
10.1111/ecin.13035,Georg-August-Universität Göttingen,Department of Economics University of Goettingen  Goettingen Germany,Wirtschaftswissenschaftliche Fakultät,Department für VWL,True,
10.1515/zfal-2021-2075,Georg-August-Universität Göttingen,"Seminar für Englische Philologie, Fachdidaktik Englisch , Georg-August-Universität Göttingen , Käte-Hamburger-Weg 3 , Göttingen Germany",Philosophische Fakultät,Seminar für Englische Philologie,True,
10.3390/genes12010098,Georg-August-Universität Göttingen,"Department of Genomic and Applied Microbiology and Göttingen Genomics Laboratory, Georg-August University of Göttingen, 37077 Göttingen, Germany",Fakultät für Biologie und Psychologie,Institut für Mikrobiologie und Genetik,True,
10.1111/rssa.12866,Georg-August-Universität Göttingen,"University of Göttingen, Campus Institute Data Science , Göttingen , Germany",Campus-Institut Data Science (CIDAS),,True,
10.1080/15387216.2020.1822751,Georg-August-Universität Göttingen,"Department of Conservation Biology, University of Göttingen, Göttingen, Germany",Fakultät für Biologie und Psychologie,Johann-Friedrich-Blumenbach Institut für Zoologie und Anthropologie,True,
10.1159/000509584,Georg-August-Universität Göttingen,"Institute of Veterinary Medicine, Georg August University Göttingen, Göttingen, Germany",Fakultät für Agrarwissenschaften,Department Nutztierwissenschaften,True,
10.1016/j.agee.2021.107447,Georg-August-Universität Göttingen,"Functional Agrobiodiversity, Department of Crop Sciences, University of Göttingen, Göttingen, Germany",Fakultät für Agrarwissenschaften,Department für Nutzpflanzenwissenschaften,True,
10.1111/mec.15458,Georg-August-Universität Göttingen,Georg‐August University School of Science (GAUSS) University of Goettingen Goettingen Germany,,,False,no gerit id for gauss
10.1126/science.adk4868,Georg-August-Universität Göttingen,"Geochemistry and Isotope Geology Department, Geoscience Center, University of Göttingen, 37073 Göttingen, Germany",Fakultät für Geowissenschaften und Geographie,Geowissenschaftliches Zentrum (GZG),True,
10.1186/s12862-022-02039-0,Georg-August-Universität Göttingen,"J.F. Blumenbach Institute of Zoology and Anthropology, Animal Ecology, University of Göttingen, Untere Karspüle 2, 37073, Göttingen, Germany. maria.rinke@uni-goettingen.de",Fakultät für Biologie und Psychologie,Johann-Friedrich-Blumenbach Institut für Zoologie und Anthropologie,True,
10.1016/j.ecoinf.2023.102360,Georg-August-Universität Göttingen,"Georg-August-University = Georg-August-Universität Göttingen (Wilhelmsplatz 1, 37073 Göttingen, Allemagne - Germany)",,,True,no faculty named
10.1371/journal.pone.0267975,Georg-August-Universität Göttingen,"Department of Animal Sciences, University of Goettingen, Goettingen, Germany",Fakultät für Agrarwissenschaften,Department Nutztierwissenschaften,True,
10.14203/bkr.v24i2.724,Georg-August-Universität Göttingen,"Büsgen-Institute Forest Genetics and Forest Tree Breeding,  Georg-August-Universität Göttingen",Fakultät für Forstwissenschaften und Waldökologie,Büsgen-Institut,True,
10.1039/d0ra06559e,Georg-August-Universität Göttingen,University of Göttingen,,,True,no faculty named
10.1002/chem.202402333,Georg-August-Universität Göttingen,Wöhler Research Institute for Sustainable Chemistry (WISCh) Georg-August-Universität Göttingen Tammannstraße 2 Göttingen 37077 Germany,Fakultät für Chemie,Friedrich-Wöhler-Forschungsinstitut für Nachhaltige Chemie,True,
10.1186/s40517-020-00179-4,Georg-August-Universität Göttingen,"Department of Applied Geology, Geoscience Centre, University of Göttingen, Goldschmidtstr. 3, 37077, Göttingen, Germany",Fakultät für Geowissenschaften und Geographie,Geowissenschaftliches Zentrum (GZG),True,
10.1371/journal.pcbi.1008813,Georg-August-Universität Göttingen,"III. Institute of Physics - Biophysics, Georg-August University, Göttingen, Germany",Fakultät für Physik,III. Physikalisches Institut,True,
10.5194/gmd-13-2315-2020,Georg-August-Universität Göttingen,"Georg-August-University GÃ¶ttingen, Tropical Plant Production and Agricultural Systems Modeling, GÃ¶ttingen, Germany",Fakultät für Agrarwissenschaften,Department für Agrarökonomie und Rurale Entwicklung,True,
10.1037/xge0001016,Georg-August-Universität Göttingen,"Department of Psychology, University of Gottingen",Fakultät für Biologie und Psychologie,Georg-Elias-Müller-Institut für Psychologie,True,
10.1371/journal.pone.0282530,Georg-August-Universität Göttingen,"Department of Agricultural Economics and Rural Development, University of Goettingen, Goettingen, Lower Saxony, Germany",Fakultät für Agrarwissenschaften,Department für Agrarökonomie und Rurale Entwicklung,True,
10.1107/s2053273323090952,Georg-August-Universität Göttingen,"Georg-August-Universitt , 37077 Gttingen , Germany",,,True,no faculty named
10.1002/chem.202203966,Georg-August-Universität Göttingen,Institut für Organische und Biomolekulare Chemie Georg-August-Universität Göttingen Tammannstr 2 37077 Göttingen Germany,Fakultät für Chemie,Institut für Physikalische Chemie,False,wrong dept
10.1371/journal.pone.0236171,Georg-August-Universität Göttingen,"Institute for Dynamics of Complex Systems, Goettingen, Germany",Fakultät für Physik,Institut für Dynamik komplexer Systeme,True,
10.1007/s00350-022-6372-x,Georg-August-Universität Göttingen,"Institut für Kriminalwissenschaften/Zentrum für Medizinrecht, Georg-August-Universität Göttingen, Platz der Göttinger Sieben 6, 37073, Göttingen, Deutschland",Juristische Fakultät,Institut für Kriminalwissenschaften,True,
10.1098/rstb.2023.0362,Georg-August-Universität Göttingen,"Department of Plant Biochemistry, Albrecht-von-Haller-Institute for Plant Sciences and Goettingen Center for Molecular Biosciences (GZMB), University of Goettingen, Justus-von-Liebig Weg 11, Goettingen 37077, Germany 2",Fakultät für Biologie und Psychologie,Albrecht-von-Haller-Institut für Pflanzenwissenschaften,True,
10.1016/j.soilbio.2024.109320,Georg-August-Universität Göttingen,"Johann Friedrich Blumenbach Institute of Zoology and Anthropology, University of Göttingen, Göttingen, Germany",Fakultät für Biologie und Psychologie,Johann-Friedrich-Blumenbach Institut für Zoologie und Anthropologie,True,
10.1038/s41467-022-28720-y,Georg-August-Universität Göttingen,"DFG Research Center for Nanoscale Microscopy and Molecular Physiology of the Brain (CNMPB), Göttingen, Germany. moebius@mpinat.mpg.de",,,False,
10.1016/j.jrp.2021.104092,Georg-August-Universität Göttingen,"Department of Psychology & Leibniz ScienceCampus Primate Cognition, University of Goettingen, Gosslerstrasse 14, 37073 Goettingen, Germany",Fakultät für Biologie und Psychologie,Georg-Elias-Müller-Institut für Psychologie,True,
10.1103/physrevd.109.075038,Georg-August-Universität Göttingen,"Institute for Theoretical Physics, Georg-August University Göttingen, Friedrich-Hund-Platz 1, Göttingen D-37077, Germany",Fakultät für Physik,Institut für Theoretische Physik,True,
10.7717/peerj.17125,Georg-August-Universität Göttingen,"Centre of Biodiversity and Sustainable Land Use, Göttingen, Germany",Zentrum für Biodiversität und Nachhaltige Landnutzung,,True,
10.1186/s12866-023-03099-y,Georg-August-Universität Göttingen,"Forest Pathology Research Group, Büsgen-Institute, Department of Forest Botany and Tree Physiology, Faculty of Forest Sciences and Forest Ecology, University of Göttingen, Büsgenweg 2, 37077, Göttingen, Germany. blessing.durodola@forst.uni-goettingen.de",Fakultät für Forstwissenschaften und Waldökologie,Büsgen-Institut,True,
10.22443/rms.emc2020.1466,Georg-August-Universität Göttingen,"†Georg-August-Universität Göttingen, D-37077 Göttingen, Germany",,,True,no faculty named
10.3390/ijerph20010687,Georg-August-Universität Göttingen,"Department of Agricultural Economics and Rural Development, University of Göttingen, 37073 Göttingen, Germany",Fakultät für Agrarwissenschaften,Department für Agrarökonomie und Rurale Entwicklung,True,
10.1080/00309230.2021.1920986,Georg-August-Universität Göttingen,"Centre for Modern Indian Studies (CeMIS), Georg-August-University of Göttingen, Göttingen, Germany",Centre for Modern Indian Studies (CeMIS),,True,
10.1055/s-0041-1737331,Georg-August-Universität Göttingen,"Georg-August-Universität Göttingen, Germany",,,True,no faculty named
10.1016/j.oneear.2020.12.003,Georg-August-Universität Göttingen,"Wildlife Sciences, Faculty of Forest Sciences, University of Goettingen, Goettingen, Germany",Fakultät für Forstwissenschaften und Waldökologie,Büsgen-Institut,True,
10.1002/tkm2.1333,Georg-August-Universität Göttingen,"Forschungsstelle für Fernöstliche Medizin, Department of Vegetation Analysis and Phytodiversity Albrecht von Haller Institute of Plant Sciences, Georg August University Göttingen  Göttingen Germany",Fakultät für Biologie und Psychologie,Albrecht-von-Haller-Institut für Pflanzenwissenschaften,True,
10.3390/rs13142773,Georg-August-Universität Göttingen,"Department of Silviculture and Forest Ecology of the Temperate Zones, University of Göttingen, 37077 Göttingen, Germany",Fakultät für Forstwissenschaften und Waldökologie,Burckhardt-Institut,True,
10.1016/j.palwor.2022.01.006,Georg-August-Universität Göttingen,"Department of Geobiology, University of Göttingen, Goldschmidtstraße 3, 37077 Göttingen, Germany",Fakultät für Geowissenschaften und Geographie,Geowissenschaftliches Zentrum (GZG),True,
10.1016/j.cub.2023.02.006,Georg-August-Universität Göttingen,"Institute for the Dynamics of Complex Systems, University of Göttingen, 37075 Göttingen, Germany",Fakultät für Physik,Institut für Dynamik komplexer Systeme,True,
10.1002/ange.202280262,Georg-August-Universität Göttingen,Institut für Physikalische Chemie Georg-August Universität Göttingen  Tammannstraße 6 37077 Göttingen Deutschland,Fakultät für Chemie,Institut für Physikalische Chemie,True,
10.1038/s41893-024-01483-8,Georg-August-Universität Göttingen,"Functional Agrobiodiversity, George August University of Göttingen, Göttingen, Germany",Fakultät für Agrarwissenschaften,Department für Nutzpflanzenwissenschaften,True,
10.1016/j.cbpa.2024.111621,Georg-August-Universität Göttingen,"Ruminant Nutrition, Department of Animal Sciences, University of Goettingen, Kellnerweg 6, 37077 Goettingen, Germany",Fakultät für Agrarwissenschaften,Department Nutztierwissenschaften,True,
