id,raw_affiliation_string,in_oal_missing,in_kb_missing,validation
https://openalex.org/W4393093371,"4Leibniz University Hannover, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W3005397931,"Gottfried Wilhelm Leibniz Universität, 30167 Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W4225406426,"Institute for Production Engineering and Machine Tools (IFW), Garbsen, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W3082917347,"Lehrstuhl Zivilrecht und Rechtsgeschichte, 30167Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W3082792191,"Institute for systems engineering, University of Erlangen-Nuremberg, D-91058 Erlangen, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,FALSE
https://openalex.org/W4360611804,"Cluster of Excellence PhoenixD (Photonics, Optics and Engineering-Innovation Across Disciplines); Institute of Quantum Optics; Laser Zentrum Hannover e.V.; Laseroptik GmbH",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W2982605939,"Institute of Analysis, Welfengarten 1, Hannover, 30167, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W4376878142,"Center for Business Management in Horticulture and Applied Research, Institute of Horticultural Production Systems, Leibniz University Hanover, Hanover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W4404360284,"University of Hannover, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W3158409284,GOTTFRIED WILHELM LEIBNIZ UNIVERSITAT HANNOVER,Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W4402557739,"Institute for Applied Data Science Hannover (Data|H), Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W4391690984,"German Aerospace Center, Institute of Systems Engineering for Future Mobility, Oldenburg, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,FALSE
https://openalex.org/W4387320907,"Institute of sanitary engineering and waste management Leibniz university of Hanover, Hanover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W4401274065,"Institute of Environmental Planning, Leibniz University of Hanover, 30419 Hanover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W3216832205,"Faculty of Media, Information and Design, University of Applied Sciences and Arts Hannover, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W3160350305,"Institute of Continuum Mechanics, Leibniz University of Hanover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W4211222822,"Leibniz Universität Hanover Institut für Fertigungstechnik und Werkzeugmaschinen (IFW) An der Universität 2 , Garbsen Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W4281650668,"Peter L. Reichertz Institute for Medical Informatics (PLRI), Technical University of Braunschweig and Hannover Medical School, Braunschweig, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,FALSE
https://openalex.org/W4307971883,"Peter L. Reichertz Institute for Medical Informatics of Technical University of Braunschweig and Hanover Medical School, Division Data Science in Biomedicine , Braunschweig , Germany",Gottfried Wilhelm Leibniz Universität Hannover,,FALSE
https://openalex.org/W3180005753,"Leibniz University Hanover, Ludwig-Franzius-Institute for Hydraulic, Estuarine and Coastal Engineering, Hanover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W4389077301,"Division Data Science in Biomedicine, Peter L. Reichertz Institute for Medical Informatics of TU Braunschweig and Hannover Medical School, 38106 Braunschweig, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,FALSE
https://openalex.org/W4211117579,Institute of Environmental Planning Leibniz University of Hanover  Hanover Germany,Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W3173933722,"Institute of Photogrammetry and GeoInformation, Leibniz UniversitÃ¤t Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W4399860909,"Institute of Production Engineering and Machine Tools, An der Universität 2, 30823, Garbsen, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W3015561360,"Leibniz Center for Science and Society (LCSS), Leibniz University Hanover, Hanover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W3085546100,"Leibniz University of Hannover, Institute for Microbiology & Max Planck Unit for the Science of Pathogens, Charitéplatz 1, 10117 Berlin, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W4363679410,"Center for Health Economics Research Hannover (CHERH), Otto-Brenner-Straße 7, 30159, Hanover, Germany. krueger.kathrin@mh-hannover.de",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W3210257673,"Lab Open Research Information, Open Science Lab, German National Library of Science and Technology, Hannover, Germany;",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W3004920565,"Institute for Environmental Economics and World Trade, Leibniz University, Königsworther Platz 1, 30167, Hanover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W3093432945,"Institute for Science Education, Leibniz University Hanover, D-30167 Hanover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W4405364707,"German Aerospace Center (DLR) e.V., Institute of Systems Engineering for Future Mobility, Oldenburg, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,FALSE
https://openalex.org/W3093950942,"Kay Blaufus, University of Hanover, Koenigsworther Platz 1, D-30167 Hanover, Germany,",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W4200235079,"Gottfried Wilhelm Leibniz University Hanover, 30167, Hanover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W4200489966,"Gemeinschaftspraxis für Strahlentherapie und Radioonkologie, Onkologische Praxis am Raschplatz, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,FALSE
https://openalex.org/W4394952123,"Institute of Forming Technology and Machines, An der Universität 2, 30823 Garbsen, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W4323556300,"Institute for Geotechnical Engineering, Leibniz University Hanover, 30167 Hanover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W3047657997,"Center for Health Economics Research Hannover, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W3216358634,"Division Data Science in Biomedicine, Peter L. Reichertz Institute for Medical Informatics of Technische Universität Braunschweig and Hannover Medical School, Braunschweig, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,FALSE
https://openalex.org/W4391233095,"Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR), Institut für Satellitengeodäsie und Inertialsensorik 2 , Callinstraße 30b, 30167 Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,FALSE
https://openalex.org/W4312583653,"Leibniz Universitaet Hannover, Institut fuer Geologie",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W3095426646,"Leibniz Universität Hannover, D-30167 Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W4366431195,"Leibniz Universita?t Hannover, Institut fu?r Lebensmittelchemie, Callinstraße 5, 31607 Hannover",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W2913782783,"Institut für Analysis, Leibniz Universität Hannover, Welfengarten 1, D-30167 Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W3045737459,Leibniz U. Hannover,,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W4293385652,"Institute for Risk and Reliability, Leibniz Universität Hannover, Callinstr. 34, Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W4400444685,Leibniz U. Hannover,,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W4283783567,"Institute of Botany, Leibniz University Hannover, Herrenhäuser Str. 2, 30419, Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W4286510207,"Coastal Research Center, Joint Research Facility of Leibniz University Hannover and Technische Universität Braunschweig, Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W3083933437,"Institute for Theoretical Physics and Institute for Gravitational Physics (Albert-Einstein-Institute), Leibniz University Hannover, Appelstrasse 2, 30167, Hannover, Germany. klemens.hammerer@itp.uni-hannover.de",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W3215478315,"Institute of Physical Chemistry and Electrochemistry, Leibniz Universität Hannover, 30167, Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W4385218155,Leibniz U. Hannover,,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W4405359573,"Leibniz University Hannover, Institute of Physical Geography & Landscape Ecology, Schneiderberg 50, 30167 Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W3148689590,fk,,Gottfried Wilhelm Leibniz Universität Hannover,FALSE
https://openalex.org/W4406589036,"Institute of Horticultural Production Systems, Vegetable Systems Modelling Section, Leibniz University Hannover, Herrenhäuser Straße 2, 30419 Hannover, GERMANY",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W3169877965,"Laboratorium für Nano- und Quantenengineering, Leibniz Universität Hannover, Schneiderberg 39, 30167 Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W3161241651,"Leibniz Universität Hannover, D-30167 Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W3156760026,"Institute for Risk and Reliability, Leibniz Universität Hannover, Callinstr. 34, 30167 Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W2980221868,Institut für Angewandte Mathematik Leibniz Universität Hannover  Hannover Germany,,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W2784198129,"Leibniz Universität Hannover, Institut für Differentialgeometrie, Welfengarten 1, 30167 Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W3037249598,Leibniz University of Hannover,,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W3207945108,Leibniz Universität Hannover,,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W3006050121,"Institut für Quantenoptik, Leibniz Universität Hannover, Welfengarten 1, 30167, Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W4400439388,Leibniz U. Hannover,,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W3045890895,Leibniz U. Hannover,,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W4404229875,"Institut für Algebraische Geometrie, Leibniz Universität Hannover, Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W3108218010,"Gottfried Wilhelm Leibniz University Hannover, Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W3112208347,"Hannah Luehmann Department of Radiology (D.S., G.S.H., X.Z., H.L., L.D., Y.L.), Washington University School of Medicine, St. Louis",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W3016520013,"Leibniz Universität Hannover, Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W4394605429,"Leibniz Research Laboratories for Biotechnology and Artificial Organs (LEBAO) 1 , Department of Cardiothoracic, Transplantation and Vascular Surgery , , Hannover 30625 , Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W4322739600,"Leibniz Universität Hannover , D-30167 Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W4286666528,Leibniz U. Hannover,,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W4403016465,"Leibniz University Hannover, Institute of Electric Power Systems, Appelstraße 9A, 30167 Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W3205851524,"Institut für Theoretische Physik, Leibniz Universität Hannover, Hannover 30167, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W4402858770,"NLWKN-Coastal Research Station/Forschungsstelle Küste, Jahnstraße 1, 26506 Norden, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,FALSE
https://openalex.org/W3204329389,"Institut für Werkstoffkunde (Materials Science), Leibnitz Universität Hannover, Garbsen, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W3008722135,"Leibniz Universität Hannover, D-30167 Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W2993185801,Institut für Theoretische Physik und Institut für Gravitationsphysik (Albert?Einstein?Institut) Leibniz Universität Hannover Appelstraße 2 Hannover 30167 Germany,,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W3195514898,"Institute for Virology, University for Veterinary Medicine Hannover, Hannover, Germany. guelsah.gabriel@leibniz-hpi.de",,Gottfried Wilhelm Leibniz Universität Hannover,FALSE
https://openalex.org/W3199928063,E-mail: lsbssm@hanmail.net),,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W4321123312,"MS Forschungs- und Projektentwicklungs-gGmbH, Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,FALSE
https://openalex.org/W3000297083,"Institut für Theoretische Physik, Leibniz Universität Hannover, Appelstraße 2, 30167, Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W3114433162,"Albert-Einstein-Institut, Leibniz Universität Hannover, Hannover 30167, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,FALSE
https://openalex.org/W3204017855,"MS Forschungs- und Projektentwicklungs- gGmbH (MS Research and Project Development gGmbH [MSFP]), Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,FALSE
https://openalex.org/W3004476046,"Leibniz Universität Hannover, D-30167 Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W4403195994,"Institute of Algebraic Geometry, Leibniz University Hannover, Welfengarten 1, 30167, Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W3038759110,"Leibniz Universität Hannover, Hanover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W4404277277,"Institut für Mikrobiologie, Uni-Hannover, Schneiderberg 50, 30167 Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W3009608472,"Institut für Quantenoptik, Leibniz Universität Hannover, Welfengarten 1, 30167 Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
https://openalex.org/W2971065724,"Institut für Theoretische Physik, Leibniz Universität Hannover, Appelstr. 2, 30167, Hannover, Germany",,Gottfried Wilhelm Leibniz Universität Hannover,TRUE
