raw_affiliation_string,to add,ror_id
"4Department of Molecular Neurobiology, Max Planck Institute of Experimental Medicine, 37075 Göttingen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"4Institute of Transfusion Medicine and Transplant Engineering, Hanover, Germany",Medizinische Hochschule Hannover (MHH),https://ror.org/00f2yqf98
"4Leibniz University Hannover, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,https://ror.org/0304hq317
"4Medical College of Hannover, Institute for Pathology, Hannover, Germany",Medizinische Hochschule Hannover (MHH),https://ror.org/00f2yqf98
"4Medical College of Hannover, Institute for Pathology, Hannover, Germany, Hannover, Germany",Medizinische Hochschule Hannover (MHH),https://ror.org/00f2yqf98
"4University Medicine Goettingen, Goettingen, Germany",Universitätsmedizin Göttingen,https://ror.org/021ft0n22
"4th Institute of Physics - Solids and Nanostructures, University of Goettingen, Goettingen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"4th Institute of Physics – Solids and Nanostructures, University of Goettingen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"4th Physical Institute -- Solids and Nanostructures, Göttingen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"5Department of Molecular Neurobiology, Max-Planck Institute for Multidisciplinary Sciences, Göttingen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"5Medical College of Hannover, Institute for Pathology, Hannover, Germany",Medizinische Hochschule Hannover (MHH),https://ror.org/00f2yqf98
"5University Hospital Goettingen, Department of Psychiatry and Psychotherapy, Goettingen, Germany",Universitätsmedizin Göttingen,https://ror.org/021ft0n22
"6Institute of Human Genetics, Medical School Hannover, Hannover, Germany;",Medizinische Hochschule Hannover (MHH),https://ror.org/00f2yqf98
"7Medical School Hannover, Institute of Pathology, Hannover, Germany",Medizinische Hochschule Hannover (MHH),https://ror.org/00f2yqf98
"8University Hospital Göttingen - University Medical Centre Göttingen, Groningen, Germany;",Universitätsmedizin Göttingen,https://ror.org/021ft0n22
"8University Medical Center Goettingen, Goettingen, Germany;",Universitätsmedizin Göttingen,https://ror.org/021ft0n22
"9Department of Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Laboratory of Regenerative Immune Therapies Applied of the Research Network REBIRTH, German Centre for Infection Research (DZIF), partner site Hannover, Hannover, Germany",Medizinische Hochschule Hannover (MHH),https://ror.org/00f2yqf98
"9Department of Molecular Neurobiology, Max Planck Institute of Experimental Medicine, 37075 Goettingen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"AG Progress Test Medizin, Charité Medical School Berlin, Hannoversche Straße 19, 10115, Berlin, Germany",Medizinische Hochschule Hannover (MHH),https://ror.org/00f2yqf98
"AGO & Medical School, Dept. Gynecologic Oncology, Hannover, Germany;",Medizinische Hochschule Hannover (MHH),https://ror.org/00f2yqf98
"AOK Niedersachsen, F1-Division of Politics, Research, and Public Relations, Hannover; Ostfalia University of Applied Sciences, Faculty of Health and Health Care Sciences, Wolfsburg; Hannover Medical School, Department of Psychiatry, Social Psychiatry and Psychotherapy, Hannover; Leibniz University Hannover, Center for Health Economics Research Hannover (CHERH), Institute of Health Economics (IHE), Hannover",Hochschule Hannover,https://ror.org/03m2kj587
"AOK Niedersachsen, F1-Division of Politics, Research, and Public Relations, Hannover; Ostfalia University of Applied Sciences, Faculty of Health and Health Care Sciences, Wolfsburg; Hannover Medical School, Department of Psychiatry, Social Psychiatry and Psychotherapy, Hannover; Leibniz University Hannover, Center for Health Economics Research Hannover (CHERH), Institute of Health Economics (IHE), Hannover",Ostfalia Hochschule für angewandte Wissenschaften,https://ror.org/01bk10867
"Abt. Innere Medizin, Evang. Krankenhaus Göttingen-Weende, Göttingen, Deutschland",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Abteilung Allgemeinmedizin, Department für Versorgungsforschung, Fakultät VI - Medizin und Gesundheitswissenschaften, Carl von Ossietzky Universität Oldenburg, Oldenburg, Deutschland",Carl von Ossietzky Universität Oldenburg,https://ror.org/033n9gh91
"Abteilung Evolution und BiodiversitÃ¤t der Tiere und Zoologisches
Museum, UniversitÃ¤t GÃ¶ttingen,  Untere KarspÃ¼le 2, 37073
GÃ¶ttingen,Â Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
Abteilung Geochemie und Isotopengeologie Fakultät für Geowissenschaften und Geographie Universität Göttingen  Göttingen Germany,Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Abteilung Geochemie, Geowissenschaftliches Zentrum Göttingen (GZG) , 37077 Gottingen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Abteilung Geochemie, Geowissenschaftliches Zentrum Göttingen (GZG), 37077, Göttingen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Abteilung Geochemie, Geowissenschaftliches Zentrum Göttingen (GZG), Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Abteilung Physik lebender Materie, Max-Planck-Institut für Dynamik und Selbstorganisation, Göttingen, Allemagne; Institut für Theoretische Physik II: Weiche Materie, Heinrich-Heine-Universität Düsseldorf, Düsseldorf, Allemagne",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Abteilung Sedimentologie/Umweltgeologie, Geowissenschaftliches Zentrum Göttingen, Universität Göttingen, Goldschmidtstraße 3, 37077 Göttingen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Abteilung Sedimentologie/Umweltgeologie, Geowissenschaftliches Zentrum Göttingen, Universität Göttingen, Goldschmidtstraße 3, 37077, Göttingen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Abteilung für Geschichte der Frühen Neuzeit, Carl von Ossietzky Universität FK IV, Institut für Geschichte, Ammerländer Heerstraße 114–118, 26129 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,https://ror.org/033n9gh91
"Academic Teaching Hospital Braunschweig, Hospital Pharmacy, Braunschweig, Germany",Technische Universität Braunschweig,https://ror.org/010nsgg66
"Acoust. Group, Dept. of Medical Phys. and Acoust., Cluster of Excellence Hearing4all, Oldenburg Univ., Germany, Carl-von-Ossietzky-Str. 9-11, Oldenburg 26129, Germanystephan.toepken@uol.de",Carl von Ossietzky Universität Oldenburg,https://ror.org/033n9gh91
"Acoust. Group, Dept. of Medical Phys. and Acoust., Cluster of Excellence Hearing4all, Oldenburg Univ., Germany, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,https://ror.org/033n9gh91
"Acoustics Group and Cluster of Excellence ""Hearing4All"", Dept. of Medical Physics and Acoustics, Carl von Ossietzky University",Carl von Ossietzky Universität Oldenburg,https://ror.org/033n9gh91
"Acoustics Group, Cluster of Excellence ""Hearing4all"", Carl-von-Ossietzky University Oldenburg",Carl von Ossietzky Universität Oldenburg,https://ror.org/033n9gh91
"Acoustics Group, Cluster of Excellence &#x201C;Hearing4all&#x201D;, Department of Medical Physics and Acoustics, Oldenburg University, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,https://ror.org/033n9gh91
"Acoustics Group, Cluster of Excellence Hearing4all, Carl von Ossietzky University , Carl-von-Ossietzky-Strasse 9-11, 26129 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,https://ror.org/033n9gh91
"Acoustics Group, Department of Medical Physics and Acoustics, Cluster of Excellence Hearing4all Carl von Ossietzky University",Carl von Ossietzky Universität Oldenburg,https://ror.org/033n9gh91
"Acoustics Group, Department of Medical Physics and Acoustics, Excellence Cluster Hearing4all, Carl von Ossietzky University , Carl-von-Ossietzky-Strasse 9-11, 26129 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,https://ror.org/033n9gh91
"Acoustics and Dynamics, Physikalisch-Technische Bundesanstalt, 38116 Braunschweig, Germany",Technische Universität Braunschweig,https://ror.org/010nsgg66
"Ala Jamous YInstitute of Neuroradiology, Univ Med Cntr Goettingen, Goettingen, Germany",Universitätsmedizin Göttingen,https://ror.org/021ft0n22
"Albrecht-von-Haller Institute, University of Goettingen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Albrecht-von-Haller-Institute for Plant Sciences and Goettingen Center for Molecular Biosciences (GZMB), Department of Plant Biochemistry, University of Goettingen, Justus-von-Liebig Weg 11, 37077 Goettingen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Albrecht-von-Haller-Institute for Plant Sciences, University of
GÃ¶ttingen, 37073 GÃ¶ttingen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Albrecht‐von‐Haller‐Institut für Pflanzenwissenschaften and Göttinger Zentrum für Molekulare Biowissenschaften (GZMB), Abteilung Biochemie der Pflanze Universität Göttingen  Justus‐von‐Liebig‐Weg 11 D‐37077 Göttingen Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Albrech‐von‐Haller Institut für Pflanzenwissenschaften Georg‐August Universität  Untere Karspüle 2, Götingen Deutschland",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Alexander von Humboldt postdoctoral fellow, Centre for Modern Indian Studies, University of Goettingen, Gottingen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Alexander von Humboldt-Professorship of Environmental Economics, Department of Economics, University of Osnabruck, Germany",Universität Osnabrück,https://ror.org/04qmmjx98
"Alexander von Humboldt-Professorship of Environmental Economics, Institute of Environmental Systems Research, University of Osnabrueck, Germany",Universität Osnabrück,https://ror.org/04qmmjx98
"Alexander von Humboldt-Professorship of Environmental Economics, School of Business Administration and Economics and Institute for Environmental Systems Research, University of Osnabruck, Germany",Universität Osnabrück,https://ror.org/04qmmjx98
"Alfred Weber Institute for Economics, Heidelberg University, and Faculty of Business and Economics, University of Goettingen (email: )",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Alfred-Weber-Institute for Economics, Heidelberg University, Bergheimer Strasse 58, 69115 Heidelberg, Germany; CEPR; CESifo; Georg-August University Goettingen; KOF Swiss Economic Institute (email: )",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
Alhyatt Heart and Vascular Center Alexandria Egypt; Institute of Cardiovascular Physiology University Medical Center Goettingen Goettingen Germany,Universitätsmedizin Göttingen,https://ror.org/021ft0n22
"An der Questenhorst 7, 30173 Hannover, Germany, Psychotherapeutical Office Pilgramm, Karmarschstr. 44, 30159 Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,https://ror.org/0304hq317
"Anatomy and Embryology, University Medicine Göttingen, Göttingen, Germany",Universitätsmedizin Göttingen,https://ror.org/021ft0n22
"Angewandte Geologie, Universität Göttingen, Goldschmidtstraße 3, 37077, Göttingen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Angewandte Geologie, Universität Göttingen, Goldschmidtstraße 3, D-37077 Göttingen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Angewandte Geologie, Universität Göttingen, Göttingen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Animal Evolution and Biodiversity, Johann‐Friedrich‐Blumenbach Institute for Zoology &amp; Anthropology Georg‐August‐University Göttingen Göttingen Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Animal Husbandry and Poultry Sciences, University of Applied Sciences Osnabrück, D-49090 Osnabrück, Germany",Hochschule Osnabrück,https://ror.org/059vymd37
"Animal Husbandry in the Tropics and Subtropics
University of Kassel and Georg-August-Universit&auml",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Animal Husbandry in the Tropics and Subtropics
University of Kassel and Georg-August-Universit&auml;t G&ouml;ttingen
Steinstrasse 19
37213 Witzenhausen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Animal Husbandry in the Tropics and Subtropics, Universitaet Kassel and Georg-August-Universitaet Goettingen, Witzenhausen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Animal Husbandry in the Tropics and Subtropics, University of Kassel and Georg-August-Universitaet Goettingen, Steinstr. 19, 37213 Witzenhausen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Animal Husbandry in the Tropics and Subtropics, University of Kassel/University of Goettingen, Witzenhausen37213, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Anne Trebilcock is former Legal Adviser/Director of Legal Services of the International Labour Organization, now associated with the University of Göttingen, Institute for Labour Law, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Application Center for Plasma and Photonic, Fraunhofer Institute for Surface Engineering and Thin Films IST, Goettingen, Germany; Department of Sciences and Technology, University of Applied Sciences and Arts, Goettingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,https://ror.org/00f5q5839
Applied Artificial Intelligence Oldenburg University Oldenburg Germany,Carl von Ossietzky Universität Oldenburg,https://ror.org/033n9gh91
"Applied Rehabilitation Technology Lab (ART-Lab), University Medical Center G&#x00F6;ttingen, G&#x00F6;ttingen, Germany",Universitätsmedizin Göttingen,https://ror.org/021ft0n22
"Applied Rehabilitation Technology Lab, University Medical Center G&#x00F6;ttingen, G&#x00F6;ttingen, Germany",Universitätsmedizin Göttingen,https://ror.org/021ft0n22
"Applied University of Osnabrück, FoodSense, Albrechtstr. 30, Osnabrück 49076, Germany",Hochschule Osnabrück,https://ror.org/059vymd37
"Arbeitsgemeinschaft Palliativversorg für Menschen mit
                    Migrationshintergrund, Deutsche Gesellschaft für Palliativmedizin,
                    Berlin, Göttingen, München, Deutschland",Universitätsmedizin Göttingen,https://ror.org/021ft0n22
"Ass. iur. Marcel Patric Iden, M.Sc. M.A. is a researcher on organised crime in the aforementioned project at the University of Osnabrück",Universität Osnabrück,https://ror.org/04qmmjx98
"Assistance Systems and Medical Device Technology, Carl von Ossietzky University, Ammerländer Heerstraße 114-118, 26129 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,https://ror.org/033n9gh91
"Assistance Systems and Medical Device Technology, Department for Health Services Research, School of Medicine and Health Sciences, Carl von Ossietzky University, Ammerländer Heerstraße 114-118, 26129 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,https://ror.org/033n9gh91
"Assistance Systems and Medical Device Technology, Department of Health Services Research, Carl von Ossietzky University Oldenburg, 26129 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,https://ror.org/033n9gh91
"Auditory Signal Processing and Cluster of Excellence ""Hearing4all,"" Department of Medical Physics and Acoustics, University of Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,https://ror.org/033n9gh91
"Auditory Signal Processing and Cluster of Excellence “Hearing4all,” Department of Medical Physics and Acoustics, University of Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,https://ror.org/033n9gh91
"Auditory Signal Processing and Hearing Devices Group and the Cluster of Excellence &#x201C;Hearing4all&#x201D;, Carl von Ossietzky Universit&#x00E4;t Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,https://ror.org/033n9gh91
"Auditory Signal Processing and Hearing Devices group and the Cluster of Excellence &#x201C;Hearing4all&#x201D;, Carl von Ossietzky Universit&#x00E4;t Oldenburg, and the H&#x00F6;rzentrum Oldenburg gGmbH Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,https://ror.org/033n9gh91
"Augenklinik, Universitäts-Klinikum, Göttingen, Deutschland",Universitätsmedizin Göttingen,https://ror.org/021ft0n22
"Authors email:[email protected]Management-Berater und Senior Business-Coach (DBVC + IOBC) auf Top-Management-/Executive- Ebene in Dax-Unternehmen und im MittelstandGilt als Coaching-Pionier in DeutschlandGeschäftsführender Gesellschafter der Böning-Consult® GmbH Schwerpunkt neben Business- Coaching: Leadership, Veränderungsmanagement: Umsetzung von Strategie- und Reorganisationsprojekten, Stress und ResilienzDiplompsychologe und Klinischer Psychologe (DGVT)War Lehrbeauftragter an verschiedenen Universitäten / Hochschulen: Fontainebleau, Osnabrück, Freiburg, Mannheim); heute Frankfurt",Hochschule Osnabrück,https://ror.org/059vymd37
"Authors email:[email protected]Management-Berater und Senior Business-Coach (DBVC + IOBC) auf Top-Management-/Executive- Ebene in Dax-Unternehmen und im MittelstandGilt als Coaching-Pionier in DeutschlandGeschäftsführender Gesellschafter der Böning-Consult® GmbH Schwerpunkt neben Business- Coaching: Leadership, Veränderungsmanagement: Umsetzung von Strategie- und Reorganisationsprojekten, Stress und ResilienzDiplompsychologe und Klinischer Psychologe (DGVT)War Lehrbeauftragter an verschiedenen Universitäten / Hochschulen: Fontainebleau, Osnabrück, Freiburg, Mannheim); heute Frankfurt",Universität Osnabrück,https://ror.org/04qmmjx98
"BDH-Clinic Hessisch Oldendorf, Institute of Neurorehabilitation Research, Associated Institute of the Hanover Medical School, Hessisch Oldendorf, Germany",Medizinische Hochschule Hannover (MHH),https://ror.org/00f2yqf98
"BMS-Umweltplanung in association with University of Bremen, Osnabrück, Germany",Universität Osnabrück,https://ror.org/04qmmjx98
"BRAIN (Neurosciences and Cognitive Sciences), Hanse-Wissenschaftskolleg (Institute for Advanced Study), and Division Animal Physiology and Behavior, Department for Neuroscience, School of Medicine and Health Sciences and Cluster of Excellence Hearing4all, Carl von Ossietzky University Oldenburg;",Carl von Ossietzky Universität Oldenburg,https://ror.org/033n9gh91
"BRICS - Braunschweig Integrated Centre of Systems Biology; Department of Computational Biology of Infection Research, Helmholtz Centre for Infection Research",Technische Universität Braunschweig,https://ror.org/010nsgg66
"Behavioral Ecology Department, Georg-August-University Göttingen, Germany; Primate Social Evolution Group, German Primate Center, Leibniz Institute for Primate Research, Göttingen, Germany; Leibniz ScienceCampus Primate Cognition, German Primate Center Leibniz Institute for Primate Research, Göttingen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Behavioral Ecology Department, Georg-August-University Göttingen, Germany; Primate Social Evolution Group, German Primate Center, Leibniz Institute for Primate Research, Göttingen, Germany; Leibniz ScienceCampus Primate Cognition, German Primate Center Leibniz Institute for Primate Research, Göttingen, Germany. Electronic address: oschuel@gwdg.de",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Benthic Ecology, Institute for Chemistry and Biology of the Marine Environment, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,https://ror.org/033n9gh91
"Berlin Institute of Health at Charité - Universitätsmedizin Berlin, QUEST Center for Responsible Research, Anna-Louisa-Karsch-Str. 2, 10178 Berlin, Germany; Medizinische Hochschule Hannover, Institut für Ethik, Geschichte und Philosophie der Medizin, Carl-Neuberg-Str. 1, 30625 Hannover, Germany. Electronic address: alice.faust@charite.de",Gottfried Wilhelm Leibniz Universität Hannover,https://ror.org/0304hq317
"Bernstein Center for Computational Neuroscience Göttingen and Department of Physics, Georg August University Göttingen 2 , 37073 Göttingen,",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Bernstein Center for Computational Neuroscience, Third Institute of Physics, Georg-August University, Friedrich Hund Platz 1, 37077 Göttingen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Bioanalytics, Department of Clinical Chemistry University Medical Center  Goettingen Germany",Universitätsmedizin Göttingen,https://ror.org/021ft0n22
"Bioanalytics, Department of Clinical Chemistry, University Medical Center Goettingen, Goettingen, Germany",Universitätsmedizin Göttingen,https://ror.org/021ft0n22
"Bioanalytics, Department of Clinical Chemistry, University Medical Center, Goettingen, Germany",Universitätsmedizin Göttingen,https://ror.org/021ft0n22
"Bioanalytics, Institute for Clinical Chemistry, University Medical Center, Robert-Koch-Strasse 420, 37075 Göttingen, Germany",Universitätsmedizin Göttingen,https://ror.org/021ft0n22
"Bioclimatology, Georg-August UniversitÃ¤t GÃ¶ttingen,
GÃ¶ttingen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Biodiversitätsmuseum, Animal Evolution and Biodiversity, Johann-Friedrich-Blumenbach Institute for Zoology & Anthropology, Georg-August-University, Göttingen, 37073, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Bioinformatics and Omics Data Science Platform, Berlin Institute For Medical Systems Biology, Max Delbrück Center for Molecular Medicine in the Helmholtz Association (MDC), Hannoversche Str.28, 10115, Berlin, Germany",Gottfried Wilhelm Leibniz Universität Hannover,https://ror.org/0304hq317
"Bioinformatics and Omics Data Science Platform, Berlin Institute For Medical Systems Biology, Max Delbrück Center for Molecular Medicine in the Helmholtz Association (MDC), Hannoversche Str.28, 10115, Berlin, Germany. altuna.akalin@mdc-berlin.de",Gottfried Wilhelm Leibniz Universität Hannover,https://ror.org/0304hq317
"Bioinformatics and Omics Data Science Platform, Berlin Institute For Medical Systems Biology, Max Delbrück Center for Molecular Medicine in the Helmholtz Association (MDC), Hannoversche Str.28, 10115, Berlin, Germany. vedran.franke@mdc-berlin.de",Gottfried Wilhelm Leibniz Universität Hannover,https://ror.org/0304hq317
"Bioinformatics and Omics Data Science Platform, Berlin Institute for Medical Systems Biology, Max Delbrück Center for Molecular Medicine in the Helmholtz Association, Hannoversche Str. 28, 10115 Berlin, Germany",Gottfried Wilhelm Leibniz Universität Hannover,https://ror.org/0304hq317
"Biomedical Physics Group, Max Planck Institute for Dynamics and Self-Organization, Universität Göttingen, Göttingen, Germany",Universitätsmedizin Göttingen,https://ror.org/021ft0n22
"Biomedizinische NMR, ax-Planck Institut für Biophysikalische Chemie, Göttingen",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Biomedizinishe NMR, Max-Plank-Institut fur Biophysikalische Chemie, Gottingen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"Biomolecular Drug Research Center (BMWZ), Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,https://ror.org/0304hq317
Biomolekulares Wirkstoffzentrum (BMWZ) Leibniz Universität  30167 Hannover Deutschland,Gottfried Wilhelm Leibniz Universität Hannover,https://ror.org/0304hq317
"Biophotonics Working Group, Institute of Quantum Optics, Leibniz University Hannover, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,https://ror.org/0304hq317
"Bioprocess Engineering-Faculty II, Microbiology, University of Applied Sciences and Arts, 30453 Hannover, Germany",Hochschule Hannover,https://ror.org/03m2kj587
"Biostabilization Laboratory, Lower Saxony Centre for Biomedical Engineering, Implant Research and Development, University of Veterinary Medicine, Germany",Stiftung Tierärztliche Hochschule Hannover,https://ror.org/015qjqf64
"Biostabilization laboratory, Lower Saxony Centre for Biomedical Engineering, Implant Research and Development, University of Veterinary Medicine, Germany",Stiftung Tierärztliche Hochschule Hannover,https://ror.org/015qjqf64
"Braunschweig Integrated Centre of Systems Biology (BRICS), Rebenring 56, 38106 Braunschweig, Germany",Technische Universität Braunschweig,https://ror.org/010nsgg66
Braunschweig Integrated Centre of Systems Biology Hemholtz Centre of Infection Research Braunschweig Germany,Technische Universität Braunschweig,https://ror.org/010nsgg66
"Braunschweig Integrated Centre of Systems Biology, 38106 Braunschweig, Germany",Technische Universität Braunschweig,https://ror.org/010nsgg66
"Braunschweig Integrated Centre of Systems Biology, Helmholtz Centre for Infection Research, Braunschweig, Germany",Technische Universität Braunschweig,https://ror.org/010nsgg66
"Braunschweig Integrated Centre of Systems Biology, Hemholtz Centre of Infection Research, Braunschweig, Germany",Technische Universität Braunschweig,https://ror.org/010nsgg66
"Braunschweig University of Technology and Physikalisch-Technische Bundesanstalt, Germany",Technische Universität Braunschweig,https://ror.org/010nsgg66
"Braunschweig University of Technology, Zoological Institute Braunschweig Germany",Technische Universität Braunschweig,https://ror.org/010nsgg66
"Buesgen Institute Forest Genetics and Forest Tree Breeding, Faculty for Forest Sciences and Forest Ecology, University of Goettingen , Buesgenweg 2, 37077 Goettingen , Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
Buesgen Institute Forest Genetics and Forest Tree Breeding; Faculty of Forest Sciences and Forest Ecology ; University of Göttingen ; Büsgenweg 2 ; Göttingen ,Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"CHERH - Center for Health Economics Research Hannover , Hannover,",Gottfried Wilhelm Leibniz Universität Hannover,https://ror.org/0304hq317
