raw_affiliation_string,to remove
"2 nd Institute of Physics, Faculty of Physics, University Göttingen, Friedrich-Hund-Platz 1, 37073 Göttingen, Germany",Georg-August-Universität Göttingen
"20Pius-Hospital, University Medicine Oldenburg, Department of Hematology and Oncology, University Department Internal Medicine-Oncology, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"21Hannover Medical University, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"28Endokrinologikum Göttingen, Georg-August-University Göttingen, Göttingen, Germany",Georg-August-Universität Göttingen
"2Charité – Universitätsmedizin, Berlin, Germany",Universitätsmedizin Göttingen
"2Hämatologie und Medizinische Onkologie, UM Göttingen, Göttingen, Germany",Universitätsmedizin Göttingen
"38108 Braunschweig, Germany",Technische Universität Braunschweig
38116 Braunschweig,Technische Universität Braunschweig
"38976 University of Applied Science Emden/Leer , Emden , Germany",Hochschule Emden/Leer
"3Charité – Universitätsmedizin, Berlin, Germany",Universitätsmedizin Göttingen
"3Clinical Center Osnabrück, Osnabrück, Germany",Hochschule Osnabrück
"3Clinical Center Osnabrück, Osnabrück, Germany",Universität Osnabrück
"3IZD Institut für Zytologie und Dysplasie, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"3Medizinische Hochschule Hannover, Hannover, Niedersachsen, Germany",Medizinische Hochschule Hannover (MHH)
"3Medizinische Hochschule Hannover, Hanover, Germany",Medizinische Hochschule Hannover (MHH)
"3Medizinische Hochschule, Hannover, Germany;",Medizinische Hochschule Hannover (MHH)
40242 Hochschule Hannover Hochschule Hannover Fakultät V Blumhardtstr. 2 Hannover Deutschland,Hochschule Hannover
"4Department of Hematology and Medical Oncology, University Medicine Göttingen, Göttingen, Germany",Universitätsmedizin Göttingen
"4th Physical Institute – Solids and Nanostructures, University of Göttingen, 37077 Göttingen, Germany",Georg-August-Universität Göttingen
"4th Physical Institute-Solids and Nanostructures, University of Göttingen, 37077, Göttingen, Germany",Georg-August-Universität Göttingen
"4th Physical Institute-Solids and Nanostructures, University of Göttingen, Göttingen, Germany",Georg-August-Universität Göttingen
"4th Physical Institute-Solids and Nanostructures, University of Göttingen, Göttingen, Germany. murat.sivis@uni-goettingen.de",Georg-August-Universität Göttingen
"4th Physical Institute—Solids and Nanostructures, Georg-August-University Göttingen, Friedrich-Hund-Platz 1, D-37077 Göttingen, Germany",Georg-August-Universität Göttingen
"5Department of Anatomy, School of Medicine, Georg-August-Universität Göttingen, Germany",Universitätsmedizin Göttingen
"5Department of Oncology and Hematology, University Hospital, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"5Medicover Oldenburg MVZ, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"5Medizinische Hochschule Hannover, Hannover, Germany;",Medizinische Hochschule Hannover (MHH)
"6Centre for Structural Systems Biology, Germany",Medizinische Hochschule Hannover (MHH)
"6Charité-Universitätsmedizin, Clinical Endocrinology CCM, Berlin, Germany",Universitätsmedizin Göttingen
"6Department of Gynaecology, Hospital Hildesheim, Hildesheim, Germany",Stiftung Universität Hildesheim
"6Klinikum Oldenburg, Oldenburg, DEU",Carl von Ossietzky Universität Oldenburg
"6Medizinische Hochschule Hannover, Hannover, Niedersachsen, Germany;",Medizinische Hochschule Hannover (MHH)
"7Institute of Pathology, Hannover Medical School, Hannover, Germany. Biomedical Research in Endstage and Obstructive Lung Disease Hannover (BREATH)",Medizinische Hochschule Hannover (MHH)
"7Medicover Oldenburg MVZ, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"8German Center for Lung Research (DZL), Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"9Institut of Pathologie, Hildesheim, Germany",Stiftung Universität Hildesheim
<!--<label>5</label>--> Department of Orthopedic Surgery Medical University Annastift Hannover Germany,Medizinische Hochschule Hannover (MHH)
"<p>Cpo-Im, Bertolt Brecht St. 103, 49088, Osnabrück, Germany</p>",Universität Osnabrück
"AMEOS Clinic Hildesheim, Hildesheim, Germany; Center for Systems Neuroscience Hannover, Hannover, Germany",Stiftung Universität Hildesheim
"AMEOS Clinic for Psychiatry and Psychotherapy Hildesheim, Hildesheim, Germany",Stiftung Universität Hildesheim
"AMEOS Clinic for Psychiatry and Psychotherapy, Hildesheim, Germany",Stiftung Universität Hildesheim
"AMEOS Clinical Center Hildesheim, 31135, Hildesheim, Germany",Stiftung Universität Hildesheim
"AMEOS Clinical Center Hildesheim, Germany",Stiftung Universität Hildesheim
"AMEOS Clinical Center Hildesheim, Germany; and Center for Systems Neuroscience Hannover, Germany",Stiftung Universität Hildesheim
"AMEOS Clinical Center Hildesheim, Hildesheim 31135, Germany",Stiftung Universität Hildesheim
"AMEOS Clinical Center Hildesheim, Hildesheim 31135, Germany; Center for Systems Neuroscience (ZSN), Hannover 30559, Germany; Department of Psychiatry, Medical School of Hannover, Hannover 30625, Germany",Stiftung Universität Hildesheim
"AMEOS Clinical Center Hildesheim, Hildesheim, 31135, Germany",Stiftung Universität Hildesheim
"AMEOS Clinical Center Hildesheim, Hildesheim, Germany",Stiftung Universität Hildesheim
"AMEOS Clinical Center Hildesheim, Hildesheim, Germany; Center for Systems Neuroscience (ZSN), Hannover, Germany; Department of Psychiatry, Medical School of Hannover, Hannover, Germany",Stiftung Universität Hildesheim
"AMEOS Clinical Center Osnabrück, Osnabrück, Germany",Universität Osnabrück
"AMEOS Clinical Centre for Psychiatry and Psychotherapy, 31135 Hildesheim, Germany",Stiftung Universität Hildesheim
"AMEOS Clinical Centre for Psychiatry and Psychotherapy, 31135, Hildesheim, Germany",Stiftung Universität Hildesheim
"AMEOS Klinikum Hildesheim, Goslarsche Landstr. 60, 31135, Hildesheim, Germany",Stiftung Universität Hildesheim
"ASA Spezialenzyme GmbH, Am Exer 19c, 38302, Wolfenbüttel, Germany",Ostfalia Hochschule für angewandte Wissenschaften
"Abcalis GmbH, Inhoffenstraße 7, D-38124 Braunschweig, Deutschland",Technische Universität Braunschweig
"Abteilung für Anästhesie und Intensivmedizin, Evangelisches Krankenhaus Witten gGmbH",Carl von Ossietzky Universität Oldenburg
"Abteilung für Anästhesiologie und Operative Intensivmedizin, St. Marienhospital Vechta, 49337 Vechta, Germany",Universität Vechta
"Abteilung für Proktochirurgie und Pilonidalsinus, St. Marienhospital Vechta, 49377 Vechta, Germany",Universität Vechta
"Abteilung für Proktochirurgie, Marienhospital Vechta gGmbH, Vechta, Deutschland",Universität Vechta
"Abteilung für Volkswirtschaftslehre , Technische Universität Clausthal Clausthal Germany",Technische Universität Clausthal
"Abteilung für gynäkologische Endokrinologie und Reproduktionsmedizin, Universitätsmedizin Mainz, Langenbeckstr. 1, 55131, Mainz, Deutschland",Universitätsmedizin Göttingen
"Academic Dean, Health Informatics Research Group, Centre for Multimedia and IT Applications (ZeMIT), University of Applied Sciences Osnabrück, Osnabrück, Germany",Universität Osnabrück
"Academic Hospital of University Halle-Wittenberg; Department of Neurology (K.-W.S.), Hannover Medical School; Department of Neurology (R.M., K.-P.W.),",Medizinische Hochschule Hannover (MHH)
"Academic Teaching Hospital of the Medical School Hannover, St Marienhospital Vechta, Department of Procto-Surgery and Pilonidal Sinus Research Group, Vechta, Germany",Universität Vechta
"Academic Teaching Hospital of the University of Göttingen, Clinic for General, Visceral and Paediatric Surgery, St. Vincenz Hospital Paderborn, Paderborn, Germany",Universitätsmedizin Göttingen
"Academic Teaching Practice, Hannover Medical School MHH, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
Academy of Geosciences and Geotechnology  P.O. Box 2538 38678 Clausthal-Zellerfeld Germany,Technische Universität Clausthal
"Accident Research Unit, Medical University of Hannover, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Accident Research, Medical University Hannover , Hannover,",Medizinische Hochschule Hannover (MHH)
"Accident Research, Medical University Hannover, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Agroecology, University of Goettingen, Germany",Georg-August-Universität Göttingen
"Akademie für Ethik in der Medizin, Humboldtallee 36, 37073, Göttingen, Deutschland. simon@aem-online.de",Georg-August-Universität Göttingen
"Akademische Rätin a. Z. sowie Habilitandin am Lehrstuhl für Strafrecht, Wirtschafts- und Steuerstrafrecht von Herrn Prof. Dr. Roland Schmitz an der Universität Osnabrück . Germany",Hochschule Osnabrück
"Akademischer Rat auf Zeit am Lehrstuhl für Strafrecht, Wirtschafts- und Steuerstrafrecht der Universität Osnabrück (Prof. Dr. Roland Schmitz). Osnabrück . Germany",Hochschule Osnabrück
"Akademisches Lernkrankenhaus der Charité, Oberhavel Kliniken, Klinik Oranienburg, 16515 Oranienburg, Germany",Carl von Ossietzky Universität Oldenburg
"Albert-Einstein-Institut, Leibniz Universität Hannover, Hannover 30167, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Alexander von Humboldt-Professorship of Environmental Economics, Osnabrück University, 49069, Osnabrück, Germany",Hochschule Osnabrück
"Alexander von Humboldt-Professorship of Environmental Economics, Osnabrück University, Osnabrück, Germany",Hochschule Osnabrück
"Alfred Mengel, Lengerich (Emsland), bis 2010 Pfarrer der Evangelisch-reformierten Gemeinde Lengerich und Präses des Synodalverbandes Emsland- Osnabrück, arbeitet als Religionslehrer am Gymnasium Leoninum in Handrup",Hochschule Osnabrück
"Alfred Mengel, bis 2010 Pfarrer der Evangelisch-reformierten Gemeinde 						Lengerich (Emsland) und Präses des Synodalverbandes Emsland-Osnabrück, 						arbeitet als Religionslehrer am Gymnasium Leoninum, Handrup 						(Emsland)",Hochschule Osnabrück
"Alfred Mengel, bis 2010 Pfarrer der Evangelisch-reformierten Gemeinde                      Lengerich (Emsland) und Präses des Synodalverbandes Emsland-Osnabrück,                      arbeitet als Religionslehrer am Gymnasium Leoninum in Handrup",Hochschule Osnabrück
"Alfred Mengel, bis 2010 Pfarrer der Evangelisch-reformierten Gemeinde Lengerich (Emsland) und Präses des Synodalverbandes Emsland-Osnabrück, arbeitet als Religionslehrer am Gymnasium Leoninum in Handrup (Emsland)",Hochschule Osnabrück
"Allgemeines Handbuch der Film-Musik, Bd. 1. Berlin 1927, S. 45","Hochschule für Musik, Theater und Medien Hannover"
"Am Feldborn 22, 37077, Göttingen, Deutschland",Georg-August-Universität Göttingen
"Am Hohen Tore 4a, 38118 Braunschweig/Germany",Hochschule für Bildende Künste Braunschweig
"Am Schützenplatz 58, 26121 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Ambulanz für seltene entzündliche Systemerkrankungen mit Nierenbeteiligung, Abteilung für Nieren- und Hochdruckerkrankungen, Medizinische Hochschule Hannover Carl-Neuberg-Str. 1, 30625, Hannover, Deutschland. anne.pankow@charite.de",Medizinische Hochschule Hannover (MHH)
"Ameldungstr. 14, 49082 Osnabrück, Germany",Universität Osnabrück
"An den Vossbergen 49 A 26133 Oldenburg Deutschland, Germany",Carl von Ossietzky Universität Oldenburg
"An-Institut der Universitätsmedizin Göttingen, Informationsverbund Dermatologischer Kliniken (IVDK), Göttingen",Universitätsmedizin Göttingen
"Anatomy Research Group, School of Medicine and Health Sciences, Carl von Ossietzky University Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"AniCura Clinic of Small Animal Medicine Haar , Haar,",Stiftung Tierärztliche Hochschule Hannover
"Anwendung auf den Betrieb und die Bewegung von Maschinen, Braunschweig 1835",Technische Universität Braunschweig
"AquaEcology GmbH & Co. KG, Steinkamp 19, 26125, Oldenburg, Germany. mschulz@uos.de",Carl von Ossietzky Universität Oldenburg
"Arnoldiweg 20, DE-37083 Göttingen, Germany",Georg-August-Universität Göttingen
"Asklepios Center for Psychiatry and Psychotherapy Göttingen, Göttingen, Germany",Universitätsmedizin Göttingen
"Association for Health Promotion and Academy of Social Medicine Lower Saxony, Fenskenweg 2, 30165, Hannover, Germany",Stiftung Tierärztliche Hochschule Hannover
Auditing & Corporate Governance | Leuphana Universität Lüneburg,Leuphana Universität Lüneburg
"Augenklinik der Universitätsmedizin Göttingen, Göttingen, Deutschland",Universitätsmedizin Göttingen
"Augenklinik, Pius-Hospital Oldenburg, Deutschland",Carl von Ossietzky Universität Oldenburg
"Augenklinik, Universitätsmedizin Göttingen, Göttingen, Deutschland",Universitätsmedizin Göttingen
"Author Affiliations: Department of Radiotherapy, Hannover Medical School, Hannover, Germany. (Dr Babadağ Savaş)",Medizinische Hochschule Hannover (MHH)
"Authors email:[email protected]Diplomtheologin Maria Herrmann, geb. 1984, ist Referentin im Bistum 						Hildesheim",Stiftung Universität Hildesheim
"Authors email:[email protected]Heidi Keller, Dr. rer. nat., Dipl.-Psych., Professorin i. R. an der Universität Osnabrück und Direktorin                      von Nevet an der School of SocialWork der Hebrew University, Jerusalem",Hochschule Osnabrück
Authors email:[email protected]Studienrat am Alten Gymnasium in Oldenburg,Carl von Ossietzky Universität Oldenburg
"Außenstelle für Epidemiologie, Tierärztliche Hochschule Hannover , Hannover, Germany",Stiftung Tierärztliche Hochschule Hannover
"BA MA, Universitätsassistentin am Institut für Ethik und Recht in der Medizin",Gottfried Wilhelm Leibniz Universität Hannover
"BHannover Medical School (MHH), Hannover, Lower Saxony, Germany",Medizinische Hochschule Hannover (MHH)
"BIOMED-TEC Hannover , Interdisziplinre forensische Gutachten , Feodor-Lynen Strae 27 , Hannover",Gottfried Wilhelm Leibniz Universität Hannover
BMA Braunschweigische Maschinenbauanstalt AG  Am Alten Bahnhof 5 38122 Braunschweig Germany,Technische Universität Braunschweig
"Bad Nauheim, Giessen, Germany;",Stiftung Universität Hildesheim
"Battery LabFactory Braunschweig (BLB), Technische Universität Braunschweig, Braunschweig, Germany",Technische Universität Braunschweig
"Bernstein Center for Computational Neuroscience, Georg-August University, 37073 Göttingen, Germany",Georg-August-Universität Göttingen
"Bernstein Center for Computational Neuroscience, Georg-August University, Am Faßberg 17, 37077, Göttingen, Germany. viola.priesemann@ds.mpg.de",Georg-August-Universität Göttingen
"Beyond Concepts GmbH, Adolfstr. 23, 49078 OsnabrÃ¼ck, Germany",Hochschule Osnabrück
"BioWissKomm, Hannover, Deutschland","Hochschule für Musik, Theater und Medien Hannover"
"Biochemistry section, Osnabrück University, 49076 Osnabrück, Germany",Universität Osnabrück
"Biodiversity, Macroecology and Biogeography University of Göttingen  Göttingen Germany",Georg-August-Universität Göttingen
"Biodiversity, Macroecology, and Biogeography, Faculty of Forest Sciences and Forest Ecology, University of Göttingen, Göttingen, Germany",Georg-August-Universität Göttingen
"Biogeochemistry of Agroecosystems, Department of Crop Science, Georg August University of Göttingen, Büsgenweg 2, 37077 Göttingen, Germany",Georg-August-Universität Göttingen
"Biogeochemistry of Agroecosystems, University of Goettingen, Germany",Georg-August-Universität Göttingen
"Biological Psychology, Department of Psychology, Carl Von Ossietzky University of Oldenburg, 26111, Oldenburg, Germany. maria.guerreiro@uni-oldenburg.de",Carl von Ossietzky Universität Oldenburg
"Biological Psychology, Department of Psychology, Carl von Ossietzky Universität Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Biological Psychology, Department of Psychology, School of Medicine and Health Sciences, Carl von Ossietzky Universität Oldenburg, Oldenburg 26111, Germany stephanie.rosemann@uni-oldenburg.de christiane.thiel@uni-oldenburg.de",Carl von Ossietzky Universität Oldenburg
"Biomedical Research in Endstage and Obstructive Lung Disease Hannover, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Biostabilization Laboratory - Lower Saxony Centre for Biomedical Engineering, Implant Research and Development, Hannover, Germany; Unit for Reproductive Medicine - Clinic for Horses, University of Veterinary Medicine Hannover, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Biostabilization Laboratory - Lower Saxony Centre for Biomedical Engineering, Implant Research and Development, Hannover, Germany; Unit for Reproductive Medicine - Clinic for Horses, University of Veterinary Medicine Hannover, Hannover, Germany. Electronic address: willem.wolkers@tiho-hannover.de",Medizinische Hochschule Hannover (MHH)
"Biostabilization Laboratory - Lower Saxony Centre for Biomedical Engineering, Implant Research and Development, NIFE, Stadtfelddamm 34, 30625, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Biostabilization Laboratory - Lower Saxony Centre for Biomedical Engineering, Implant Research and Development, NIFE, Stadtfelddamm 34, 30625, Hannover, Germany. willem.frederik.wolkers@tiho-hannover.de",Medizinische Hochschule Hannover (MHH)
"Biostabilization Laboratory - Lower Saxony Centre for Biomedical Engineering, Implant Research and Development, Stadtfelddamm 34, 30625 Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Biostabilization Laboratory - Lower Saxony Centre for Biomedical Engineering, Implant Research and Development, Stadtfelddamm 34, 30625, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"BirdLife Germany (NABU), An der Tongrube 10A, 38302 Wolfenbüttel, Germany",Ostfalia Hochschule für angewandte Wissenschaften
"Botanical Garden of the University of Osnabrueck, Albrechtstrasse 29, 49076 Osnabrueck, Germany.
I.M. Sechenov First Moscow State Medical University Ministry of Health of the Russian Federation, Department of Pharmaceutical and Natural Sciences, Izmailovsky Boulevard, 8, Moscow, 105043, Russian Federation",Universität Osnabrück
"Botanical Garden of the University of Osnabrueck, Albrechtstrasse 29, 49076 Osnabrueck, Germany.
I.M. Sechenov First Moscow State Medical University Ministry of Health of the Russian Federation, Department of Pharmaceutical and Natural Sciences, Izmailovsky Boulevard, 8, Moscow, 105043, Russian Federation",Universität Osnabrück
"Botanical Garden of the University of Osnabrück, Albrechtstr. 29, Osnabrück, 490776, Germany",Hochschule Osnabrück
"Braunschweig Integrated Centre of Systems Biology, Braunschweig University of Technology, Braunschweig, Germany",Hochschule für Bildende Künste Braunschweig
"Braunschweig TU University, Braunschweig, Germany",Technische Universität Braunschweig
"Braunschweig University of Art, Germany",Hochschule für Bildende Künste Braunschweig
"Braunschweig Zukunft GmbH (Wirtschaftsförderung), Braunschweig, Deutschland",Technische Universität Braunschweig
"Braunschweig, 38106 Deutschland",Technische Universität Braunschweig
Braunschweiger Flammenfilter GmbH  Industriestraße 11 38110 Braunschweig Germany,Technische Universität Braunschweig
"Braunschweiger Umwelt-Biotechnologie GmbH, Braunschweig, Deutschland",Technische Universität Braunschweig
"Brauschweig Institute of Technology, 38108 Braunschweig, Germany",Technische Universität Braunschweig
"Breast Centre Osnabrück, Osnabrück, Germany",Hochschule Osnabrück
"Bremerhaven-Reinkenheide, Department of Neurosurgery, Academic Teaching Hospital of the University of Göttingen, Germany",Universitätsmedizin Göttingen
Business Information Systems Technische Universität Braunschweig Germany,Technische Universität Braunschweig
"Business Information Systems Technische Universität Braunschweig, Germany",Technische Universität Braunschweig
"Büsgen‐Institute, Department of Forest Zoology and Forest Conservation Georg‐August‐Universität Göttingen  Göttingen Germany",Georg-August-Universität Göttingen
"CAPNETZ STIFTUNG, Hannover, Germany. gernot.rohde@kgu.de",Stiftung Tierärztliche Hochschule Hannover
"CAPNETZ STIFTUNG, Hannover, Germany. jan.rupp@uksh.de",Stiftung Tierärztliche Hochschule Hannover
"CHochschule Hannover, DE, Hannover, Germany",Hochschule Hannover
"CI3 - Cluster of Individualized Immune Intervention; formerly of Ganymed Pharmaceuticals GmbH, Mainz, Germany",Medizinische Hochschule Hannover (MHH)
"CI3 – Cluster for Individualized Immunointervention e.V., Hölderlinstraße 8, 55131 Mainz, Germany",Medizinische Hochschule Hannover (MHH)
"CSSB Centre for Structural Systems Biology, Deutsches Elektronen-Synchrotron DESY",Medizinische Hochschule Hannover (MHH)
"Callinstr. 9, 30167, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Cambridge-NTU Centre for Lifelong Learning and Individualised Cognition (CLIC), Nanyang Technological University",Medizinische Hochschule Hannover (MHH)
Campus Institute Data Science (CIDAS) University of Göttingen Göttingen Germany,Georg-August-Universität Göttingen
"Campus Institute Data Science (CIDAS), University of Göttingen, Göttingen, Germany",Georg-August-Universität Göttingen
"Campus Institute Data Science, Göttingen University, Gemany",Georg-August-Universität Göttingen
"Campus Institute for Dynamics of Biological Networks, Georg August University",Georg-August-Universität Göttingen
"Campus Institute for Dynamics of Biological Networks, Georg-August University, Hermann-Rein-Straße 3, 37075, Göttingen, Germany",Georg-August-Universität Göttingen
"Campus Institute for Dynamics of Biological Networks, University of Göttingen, Hermann-Rein-Straße 3, 37075, Göttingen, Germany",Georg-August-Universität Göttingen
"Cardiology Department, Interventional Cardiology, University Clinic Oldenburg , Rafel-Straus-Strasse 10, 26133 Oldenburg , Germany",Carl von Ossietzky Universität Oldenburg
"Carl v. Ossietzky University Oldenburg, Oldenburg/DE",Carl von Ossietzky Universität Oldenburg
"Carl von Ossietzky University Institut für Biologie und Umweltwissenschaften, , Oldenburg, 26129 Germany",Carl von Ossietzky Universität Oldenburg
Carl von Ossietzky University Oldenburg,Carl von Ossietzky Universität Oldenburg
"Carl von Ossietzky University Oldenburg, Department of Medical Microbiology and Virology, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Carl von Ossietzky University Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Carl von Ossietzky University of Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Carl von Ossietzky University of Oldenburg, Institute of Sport Science, Department of Sport and Movement Science, Oldenburg, 26129, Germany. nils.eckardt@uol.de",Carl von Ossietzky Universität Oldenburg
"Carl von Ossietzky UniversitÃ¤t Oldenburg, Institut fÃ¼r Mathematik, Postfach 2503, D-26111 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Carl von Ossietzky Universität , Institut für Physik , D-26111, Oldenburg , Germany",Carl von Ossietzky Universität Oldenburg
Carl von Ossietzky Universität Oldenburg,Carl von Ossietzky Universität Oldenburg
"Carl von Ossietzky Universität Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Carl von Ossietzky Universität Oldenburg, Institut für Physik, Carl-von-Ossietzky-Straße 9-11, D-26129 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Carl von Ossietzky Universität Oldenburg, Institut für Physik, Ultrafast Coherent Dynamics, Carl-von-Ossietzky-Straße 9-11, D-26129 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Carl von Ossietzky Universität Oldenburg, Institut für Physik, Ultrafast Nanoscale Dynamics, Carl-von-Ossietzky-Straße 9-11, D-26129 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Carl von Ossietzky Universität Oldenburg, Institute of Physics, 26129 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Carl von Ossietzky Universität Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Carl von Ossietzky Universität, Forschungszentrum Neurosensorik, 26129 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Carl von Ossietzky Universität, Institut für Mathematik, 26111, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Carl von Ossietzky Universität, Institut für Physik and Center of Interface Science, 26129 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Carl von Ossietzky Universität, Institut für Physik, D-26111 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Carl-Friedrich-Gauß-Faculty, Technical University of Braunschweig",Technische Universität Braunschweig
"Cellular Biophysics and Translational Cardiology Section, Heart Research Center Göttingen, Department of Cardiology & Pneumology, Georg-August University Göttingen, Goettingen, Germany",Universitätsmedizin Göttingen
"Cellular Communication Laboratory, Osnabrück University, 49076 Osnabrück, Germany",Universität Osnabrück
"Center for Chronically Sick Children (Sozialpädiatrisches Zentrum , SPZ), , Campus Virchow-KlinikumAugustenburger Pl. 113353 Berlin , Germany",Carl von Ossietzky Universität Oldenburg
Center for Geriatric Medicine  Offenburg Germany,Carl von Ossietzky Universität Oldenburg
