doi,parent_name,raw_affiliation_string,fak_name,dept_name
10.1109/ieeeconf38699.2020.9389450,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Institute for Applied Photogrammetry and Geoinformatics, Jade University of Applied Sciences, Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",IAPG Institut für Angewandte Photogrammetrie und Geoinformatik (Standort Oldenburg)
10.1051/aacus/2020034,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Institut fr Hrtechnik und Audiologie, Jade Hochschule, Ofener Str. 16, 26121 Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",Institut für Hörtechnik und Audiologie
10.5194/isprs-archives-xliii-b5-2020-91-2020,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade University of Applied Sciences, Institute for Applied Photogrammetry and Geoinformatics, Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",IAPG Institut für Angewandte Photogrammetrie und Geoinformatik (Standort Oldenburg)
10.3390/mi11010091,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Department of Engineering, Jade University of Applied Sciences, Friedrich-Paffrath-Str. 101, 26389 Wilhelmshaven, Germany",Fachbereich Ingenieurwissenschaften,
10.11159/icebs22.136,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade University of Applied Sciences Friedrich-Paffrath-Straße 101, Wilhelmshaven, Germany",,
10.1186/s12913-024-10888-2,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade University of Applied Science, Ofener Straße 16, 26121, Oldenburg, Germany",,
10.1007/s41449-024-00451-4,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Dep. Of Maritime and Logistic Studies, Jade University of Applied Sciences, Weserstraße 52, 26931, Elsfleth, Germany",Fachbereich Seefahrt und Logistik,
10.1007/s00106-024-01427-w,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade Hochschule, Fachbereich Ingenieurwissenschaften, Friedrich-Paffrath-Str. 101, 26389, Wilhelmshaven, Deutschland",Fachbereich Ingenieurwissenschaften,
10.1007/s11666-022-01504-y,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Department of Engineering Sciences, Jade University of Applied Sciences, Friedrich-Paffrath-Str. 101, 26389, Wilhelmshaven, Germany",Fachbereich Ingenieurwissenschaften,
10.3389/fpubh.2024.1334180,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade University of Applied Sciences, Section Technology and Health for Humans, Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",
10.3390/jmse9080802,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Department of Engineering Sciences, Jade University of Applied Sciences, 26389 Wilhelmshaven, Germany",Fachbereich Ingenieurwissenschaften,
10.3390/rs12122057,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade University of Applied Sciences, Institute for Applied Photogrammetry and Geoinformatics (IAPG), Ofener Str. 16/19, 26121 Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",IAPG Institut für Angewandte Photogrammetrie und Geoinformatik (Standort Oldenburg)
10.1111/ddg.14386,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,Institute for Applied Photogrammetry and Geoinformatics Jade Hochschule  Oldenburg,"Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",IAPG Institut für Angewandte Photogrammetrie und Geoinformatik (Standort Oldenburg)
10.1055/s-0040-1711220,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade Hochschule, Institut für Hörtechnik und Audiologie (IHA)","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",Institut für Hörtechnik und Audiologie
10.3390/electronics12153252,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Department of Engineering, Jade University of Applied Sciences, Friedrich-Paffrath-Str. 101, 26389 Wilhelmshaven, Germany",Fachbereich Ingenieurwissenschaften,
10.1007/s10531-023-02629-4,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Institute for Applied Photogrammetry and Geoinformatics (IAPG), University of Applied Sciences, Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",IAPG Institut für Angewandte Photogrammetrie und Geoinformatik (Standort Oldenburg)
10.1515/zsr-2023-0002,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,Jade Hochschule Ofener Str. 16/19 26121 Oldenburg Deutschland,,
10.1080/02513625.2024.2376449,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Planning of urban and rural spaces, Jade University of Applied Sciences, Ofener Str. 16, 26121 Oldenburg i.O., Germany",Fachbereich Architektur,
10.1016/j.prostr.2024.03.068,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade University of Applied Sciences, Wilhelmshaven Germany",,
10.3390/s22135014,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Institute of Applied Photogrammetry and Geoinformatics (IAPG), Jade University of Applied Sciences, Ofener Str. 16/19, 26121 Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",IAPG Institut für Angewandte Photogrammetrie und Geoinformatik (Standort Oldenburg)
10.1186/s42162-023-00290-3,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Department of Engineering Sciences, Jade University of Applied Sciences, Friedrich-Paffrath-Str. 101, 26389, Wilhelmshaven, Germany",Fachbereich Ingenieurwissenschaften,
10.1055/s-0043-1770469,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade Hochschule, Oldenburg, Deutschland",,
10.3390/alloys2030010,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Department of Engineering Sciences, Jade University of Applied Sciences, Friedrich-Paffrath-Str. 101, 26389 Wilhelmshaven, Germany",Fachbereich Ingenieurwissenschaften,
10.3389/fpubh.2022.832922,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Section Technology and Health for Humans, Jade University of Applied Sciences Wilhelmshaven/Oldenburg/Elsfleth, Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",
10.3390/act10080183,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Research Group for Modelling and Simulation of Mechatronic Systems, Jade University of Applied Sciences, D-26389 Wilhelmshaven, Germany",Fachbereich Ingenieurwissenschaften,
10.3390/rs15164113,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade Hochschule Oldenburg, Institute for Applied Photogrammetry and Geoinformatics (IAPG), Ofener Str. 16/19, 26121 Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",IAPG Institut für Angewandte Photogrammetrie und Geoinformatik (Standort Oldenburg)
